pair_schema_version,experiment_id,paired_run_id,case_id,subset_id,seed,case_config_hash,off_run_id,on_run_id,pair_complete,pair_valid,off_overspeed,on_overspeed,off_crossed_target_radius,on_crossed_target_radius,off_recoverable_crossing,on_recoverable_crossing,off_final_simulator_success,on_final_simulator_success,off_invalid_simulation,on_invalid_simulation,on_monitor_evaluation_count,on_allow_count,on_veto_count,on_fallback_count,on_false_negative_count,on_fallback_failure_count,avoided_failure,blocked_success,unnecessary_veto,performance_cost_summary,claim_eligible,claim_ineligibility_reason,is_formal_experiment,terminal_label_without_monitor,terminal_label_with_monitor,terminal_label_changed,termination_reason_without_monitor,termination_reason_with_monitor,terminal_outcome_transition,step_count_delta,monitor_induced_horizon_extension,task_outcome_preserved,declared_hazard_avoided,task_recovered_after_hazard_avoidance
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_10000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_10000,phase34_known_recoverable_preservation_v1,0,9efd95bd7b3c336e1651396b094d82f62a0a273c40bc2e9281c2e1505386f49d,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_10000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_10000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,1153,1153,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":1153,""on_steps"":1153,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_8000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_8000,phase34_known_recoverable_preservation_v1,0,5c6af1cdb1f126813eced3152e797ef8357146c6dbd818b3675936d90393bc33,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_8000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_150__thrust_8000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,2013,2013,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":2013,""on_steps"":2013,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000,phase34_known_recoverable_preservation_v1,0,2e395acd6725c050664efa46569fca27c31cce5f7cc5199ddd1103c18ccda9b8,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,661,661,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":661,""on_steps"":661,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_8000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_8000,phase34_known_recoverable_preservation_v1,0,73751c2461c32fd8b53130958951be1dfc27d2b15c4b694f99f30c7b1930d2b0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_8000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_8000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,1194,1194,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":1194,""on_steps"":1194,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000,phase34_known_recoverable_preservation_v1,0,31cc944ca65b2b4c3e28d374cb6380b6c79ecfd70965f246534d4681c91be389,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,551,551,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":551,""on_steps"":551,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_8000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_8000,phase34_known_recoverable_preservation_v1,0,8f0de2c6b025afad953b7841cceae13e4e8314ca00dfdbd15ac3d9f6ca6ca648,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_8000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_8000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,478,478,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":478,""on_steps"":478,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000,phase34_known_recoverable_preservation_v1,0,4ea2c0f823cfb746270840ee250dd49156ee8c784c571f665581273c48060501,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,484,484,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":484,""on_steps"":484,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_8000__seed_0,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_8000,phase34_known_recoverable_preservation_v1,0,5f9034528674c2daf4f1588f9c78e51835b25072844f4b84ee283aad483ed026,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_8000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_8000__seed_0__monitor_on,true,true,false,false,true,true,true,true,true,true,false,false,4793,4793,0,0,0,0,false,false,false,"{""intervention_rate"":0.0,""off_steps"":4793,""on_steps"":4793,""step_delta"":0,""terminal_outcome_transition"":""success -> success"",""veto_count"":0}",true,,true,success,success,false,success,success,success -> success,0,0,true,false,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000__seed_0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000,phase35_radial_energy_push_overspeed_stress_v0,0,5e5432c17487ede8ba35fb0d2841e3bc4577d156bc000c5b0d29dac4cc4b0ef9,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000__seed_0__monitor_off,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000__seed_0__monitor_on,true,true,true,false,false,false,false,false,false,false,false,false,100000,21,99979,99979,0,0,true,false,false,"{""intervention_rate"":0.99979,""off_steps"":22,""on_steps"":100000,""step_delta"":99978,""terminal_outcome_transition"":""overspeed -> max_steps"",""veto_count"":99979}",true,,true,overspeed,no_crossing,true,overspeed,max_steps,overspeed -> max_steps,99978,99978,true,true,false
final_veto_pair_schema_v0,final_veto_overspeed_ablation_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000__seed_0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000,phase35_radial_energy_push_overspeed_stress_v0,0,0d1031e82b150ea7ed4f3f5fe494855418ef960bebc89b85bd7c9dbb97dfab12,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000__seed_0__monitor_off,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000__seed_0__monitor_on,true,true,true,false,false,false,false,false,false,false,false,false,100000,27,99973,99973,0,0,true,false,false,"{""intervention_rate"":0.99973,""off_steps"":28,""on_steps"":100000,""step_delta"":99972,""terminal_outcome_transition"":""overspeed -> max_steps"",""veto_count"":99973}",true,,true,overspeed,no_crossing,true,overspeed,max_steps,overspeed -> max_steps,99972,99972,true,true,false
