variant_name,sweep,predictive_horizon,replan_interval,score_mode,action_space,burn_hold_steps,controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_planner_mode,planner_mode_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_ratio,final_angular_momentum_ratio,max_speed_ratio,overspeed,turning_point_count,mean_abs_tracking_error,initial_transfer_energy_error_ratio,final_transfer_energy_error_ratio,initial_transfer_angular_momentum_error_ratio,final_transfer_angular_momentum_error_ratio,burn_steps,coast_steps,burn_ratio,event_count,burn_count,predictive_replans,candidate_eval_count,runtime_seconds,planner_choice_counts_json,planner_choice_named_counts_json,coast_chosen_pct,prograde_pct,retrograde_pct,radial_inward_pct,radial_outward_pct,diagonal_pct,avg_chosen_thrust_norm,avg_score_margin,event_steps_json,burn_steps_json
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,150.0,8000.0,1.0,True,True,True,True,-38.530447607905636,-3195.2769906896274,-0.009158290866034995,-0.7594844569695679,-2413.50390625,False,0.6185775149366969,0.021872411989640565,False,1,128,1076.5029296875,2220.5693359375,28.016402607368157,349,True,False,success,phase76_handoff,"{""phase76_handoff"": 128}",0.0,5.921338994971445e-10,0.8660254037844387,1.0000000000000075,1.0000000000000073,False,0,5.993435436858285e-07,0.0,5.921338994971445e-10,0.13397459621556124,2.9606680816445473e-10,0,0,0.0,0,0,0,0,0.004202000000077533,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,165.0,8000.0,1.0,True,True,True,True,-75.5921283924204,-3183.1688515097776,-0.017967470973745035,-0.756606476895629,-6026.451171875,False,0.6268461474885241,0.02180655982767169,False,1,79,581.3896484375,5645.37109375,18.30163168160577,300,True,False,success,phase76_handoff,"{""phase76_handoff"": 79}",2.104654818683916e-16,1.5054145521914852e-09,0.9659258262890681,1.0000000000000075,1.0000000000000073,False,0,5.203974283719617e-07,2.104654818683916e-16,1.5054145521914852e-09,0.034074173710931875,7.527071491359193e-10,0,0,0.0,0,0,0,0,0.00410109999938868,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.02,165.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,72083243341.39258,72083243341.39258,7807.331285071104,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",0.019607843137254777,2.512174155613607,0.956409083597835,0.22123411752543062,1.8689930297163235,False,0,0.014580116953619975,0.009803921568627437,2.5272958971697426,0.029256558656644043,0.7777371573722482,0,99880,0.0,0,0,2500,22500,6.129675700001826,"{""coast"": 2497, ""radial_inward"": 2, ""retrograde"": 1}","{""coast"": 2497, ""radial_inward"": 2, ""small_retrograde"": 1}",99.88,0.0,0.04,0.08,0.0,0.0,0.00010800000000000001,1.4206743740458982e-05,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.05,165.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,296933726237.5176,296933726237.5176,7821.743484109974,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",0.04761904761904765,2.576020825782158,0.942647084338374,0.20727345511242676,1.870789681075356,False,0,0.04422289551756022,0.023809523809523878,2.615421346426712,0.022074635036229126,0.7871010140124269,0,99880,0.0,0,0,2500,22500,6.134817000001931,"{""coast"": 2497, ""radial_inward"": 2, ""retrograde"": 1}","{""coast"": 2497, ""radial_inward"": 2, ""small_retrograde"": 1}",99.88,0.0,0.04,0.08,0.0,0.0,0.00010800000000000001,1.4206746536025783e-05,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,170.0,8000.0,1.0,True,True,True,True,-69.01423483018289,-4727.470714164705,-0.01640397336941329,-1.1236711366960404,-2623.1083984375,False,0.9186216777498761,0.04348345057112868,False,1,42,1709.513671875,2275.509765625,11.434367729151932,266,True,False,success,phase76_handoff,"{""phase76_handoff"": 42}",2.104654818683916e-16,6.067846121554851e-10,0.984807753012208,1.0000000000000073,1.0000000000000073,False,0,4.632949875670622e-07,2.104654818683916e-16,6.067846121554851e-10,0.015192246987791962,3.0339234160109173e-10,0,0,0.0,0,0,0,0,0.004516500001045642,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,0.98,165.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,72660148719.83887,72660148719.83887,7724.851567285684,100000,False,True,max_steps,coast,"{""coast"": 99920, ""predictive_descent"": 80}",0.020408163265306076,2.3685560288769216,0.9757324312745989,0.1315656364832687,1.8464455605206895,False,0,0.015074279360390812,0.01020408163265299,2.3548704685881523,0.03891593766554585,0.8690459246921106,0,99920,0.0,0,0,2500,22500,6.301240900000266,"{""coast"": 2498, ""diagonal"": 1, ""radial_outward"": 1}","{""coast"": 2498, ""radial_outward"": 1, ""retrograde_outward"": 1}",99.92,0.0,0.0,0.0,0.04,0.04,7.773592452822642e-05,1.4212197434726547e-05,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,0.98,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,84468724217.98242,84468724217.98242,6551.05755757195,100000,False,True,max_steps,coast,"{""coast"": 99960, ""predictive_descent"": 40}",0.020408163265306076,2.153561336230181,0.8748177652797064,0.8670860310538518,1.7872808345631124,False,0,0.01586260116205586,0.01020408163265299,2.1420257228678796,0.1383156030192956,0.13831661624986635,0,99960,0.0,0,0,2500,22500,8.180705299997499,"{""coast"": 2499, ""radial_outward"": 1}","{""coast"": 2499, ""radial_outward"": 1}",99.96,0.0,0.0,0.0,0.04,0.0,4e-05,5.796300822158429e-09,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.02,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,82108653858.16895,82108653858.16895,6803.3750686506155,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",0.01960784313725499,1.6517583238054399,0.8574929257125444,0.1211424073618747,1.8257690931976658,False,0,0.015247375213863884,0.009803921568627649,1.6582759070434943,0.12965524072353934,0.8781331515728964,0,99880,0.0,0,0,2500,22500,10.128899300001649,"{""coast"": 2497, ""radial_inward"": 2, ""retrograde"": 1}","{""coast"": 2497, ""radial_inward"": 2, ""small_retrograde"": 1}",99.88,0.0,0.04,0.08,0.0,0.0,0.00010800000000000001,1.7026247823892502e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,175.0,8000.0,1.0,True,True,True,True,-31.058008674702325,-3664.12991433049,-0.0073821690331051645,-0.8709259717889519,-762.443359375,False,0.7055993803725469,0.02761116937756757,False,1,8,596.3916015625,607.4658203125,3.3645032623345292,230,True,False,success,phase76_handoff,"{""phase76_handoff"": 8}",2.104654818683916e-16,1.6197255112205923e-10,0.9961946980917454,1.0000000000000075,1.0000000000000075,False,0,4.020464845759737e-07,2.104654818683916e-16,1.6197255112205923e-10,0.0038053019082545138,8.098627137007804e-11,0,0,0.0,0,0,0,0,0.0034254999991389923,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.05,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,306815014006.5283,306815014006.5283,6832.157363386223,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",0.04761904761904765,1.7279858954899665,0.8451542547285167,0.1086693973012368,1.8263186131125941,False,0,0.04488053578733844,0.023809523809523878,1.7461855428772155,0.12321610416249097,0.8882397911055445,0,99880,0.0,0,0,2500,22500,10.174564400000236,"{""coast"": 2497, ""radial_inward"": 2, ""retrograde"": 1}","{""coast"": 2497, ""radial_inward"": 2, ""small_retrograde"": 1}",99.88,0.0,0.04,0.08,0.0,0.0,0.00010800000000000001,1.7111004261671782e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,0.98,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,76241175967.17676,76241175967.17676,7370.388115220575,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",0.020408163265306496,2.384088968803458,0.9948060576000269,0.5795956973861693,1.8506449546822594,False,0,0.01531386761556849,0.010204081632653406,2.3702480791154237,0.020128657787653964,1.576623396987619,0,99880,0.0,0,0,2500,22500,9.94844329999978,"{""coast"": 2497, ""diagonal"": 1, ""radial_outward"": 1, ""retrograde"": 1}","{""coast"": 2497, ""radial_outward"": 1, ""retrograde_outward"": 1, ""small_retrograde"": 1}",99.88,0.0,0.04,0.0,0.04,0.04,0.00010573592452822643,1.1440971023901626e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,0.98,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,79861176468.02734,79861176468.02734,7013.651143405971,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",0.020408163265306287,2.553964103785982,1.0063086091467979,0.8924458705110316,1.8959860515491949,False,0,0.01555643515091612,0.010204081632653197,2.5384244627481225,0.008798790486491197,0.1125637395386414,0,99880,0.0,0,0,2500,22500,9.80662669999947,"{""coast"": 2497, ""diagonal"": 1, ""prograde"": 1, ""radial_outward"": 1}","{""coast"": 2497, ""radial_outward"": 1, ""retrograde_outward"": 1, ""small_prograde"": 1}",99.88,0.04,0.0,0.0,0.04,0.04,0.00010573592452822643,1.1496257728804692e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,150.0,10000.0,1.0,True,True,True,True,-56.806558896857226,-3462.776521423222,-0.013502334433540864,-0.823066342493355,-3817.8857421875,False,0.6746558758239845,0.02052503083453011,False,1,1711,693.05859375,2453.6474609375,78.06700913583241,1927,True,False,success,phase76_handoff,"{""phase76_handoff"": 1711}",0.0,6.542913016537822e-10,0.8660254037844387,1.000000000000006,1.0000000000000058,False,0,2.9618460471386597e-06,0.0,6.542913016537822e-10,0.13397459621556124,3.271454664854056e-10,0,0,0.0,0,0,0,0,0.07085169999845675,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.02,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,90669001859.67188,90669001859.67188,5947.008479442561,100000,False,True,max_steps,predictive_descent,"{""predictive_descent"": 100000}",0.01960784313725499,1.1638800771172697,0.9751049769494176,0.3761677728501608,1.7749994396937632,False,0,0.015817795097216352,0.009803921568627649,1.1655188778884424,0.010280457151176597,1.3788445216914833,0,0,0.0,0,0,2500,22500,14.00086359999841,"{""diagonal"": 1, ""radial_inward"": 1, ""retrograde"": 2498}","{""medium_retrograde"": 1, ""prograde_inward"": 1, ""radial_inward"": 1, ""small_retrograde"": 2497}",0.0,0.0,99.92,0.04,0.0,0.04,0.07004973592452823,1.1377892240371779e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.05,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,315583079010.0654,315583079010.0654,5953.857025871133,100000,False,True,max_steps,coast,"{""coast"": 99800, ""predictive_descent"": 200}",0.047619047619047436,1.1936766694980965,0.9610739580048949,0.33149367989975986,1.7684664604367275,False,0,0.04546453241303624,0.02380952380952366,1.1985185862355487,0.0029581412233598363,0.6586949693530337,0,99800,0.0,0,0,2500,22500,14.070165799999813,"{""coast"": 2495, ""diagonal"": 1, ""radial_inward"": 1, ""retrograde"": 3}","{""coast"": 2495, ""medium_retrograde"": 1, ""prograde_inward"": 1, ""radial_inward"": 1, ""small_retrograde"": 2}",99.8,0.0,0.12,0.04,0.0,0.04,0.00018973592452822642,1.1373006376391715e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.05,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,312027784650.41113,312027784650.41113,6310.285141544167,100000,False,True,max_steps,predictive_descent,"{""coast"": 39920, ""predictive_descent"": 60080}",0.04761904761904765,1.4727669350815682,0.9721864785386766,0.3779297015446338,1.8429814424934339,False,0,0.04522768418450038,0.023809523809523878,1.4845861084586074,0.008570262013884953,1.3889384316494193,0,39920,0.0,0,0,2500,22500,14.139175100001012,"{""coast"": 998, ""diagonal"": 1, ""radial_inward"": 1, ""retrograde"": 1500}","{""coast"": 998, ""medium_retrograde"": 1, ""prograde_inward"": 1, ""radial_inward"": 1, ""small_retrograde"": 1499}",39.92,0.0,60.0,0.04,0.0,0.04,0.04210573592452823,1.137465414107197e-08,[],[]
