phase,controller_name,state_type,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,r_error_ratio,vr_ratio,vt_error_ratio,energy_error_ratio,angular_momentum_error_ratio,crossing_direction,overspeed,handoff_entered,capture_entered,success,recoverable_original,distance_to_recoverable,dominant_failure_variable,failure_cluster,source_note
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,1.0,-1.9467604166666666e-10,-0.005988015668111895,-0.7800950243010297,-0.9516059453311938,-0.7800950243010297,inbound,False,True,True,True,False,3.134710956393185,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=165|thrust=8000|target=1,1.0,165.0,8000.0,1.0,-3.5278919270833335e-10,-0.020933166025926386,-0.7471762106990555,-0.9356419341236426,-0.7471762106990554,inbound,False,True,True,True,False,3.1666781075799455,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=170|thrust=8000|target=1,1.0,170.0,8000.0,1.0,-2.920735677083333e-10,-0.006324852049514541,-0.911636861908399,-0.9921519520731563,-0.911636861908399,inbound,False,True,True,True,False,3.6602346470497937,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=8000|target=1,0.98,175.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
