r_factor,vr_factor,vt_factor,recoverable_state_count,recoverable_case_count,potential_capture_case_count,potential_capture_gain_vs_observed,dominant_blocking_threshold
1.0,1.0,1.0,0,0,12,0,tangential_velocity
1.0,1.0,1.5,0,0,12,0,tangential_velocity
1.0,1.0,2.0,0,0,12,0,tangential_velocity
1.0,1.0,3.0,12,4,12,0,tangential_velocity
1.0,1.5,1.0,0,0,12,0,tangential_velocity
1.0,1.5,1.5,0,0,12,0,tangential_velocity
1.0,1.5,2.0,0,0,12,0,tangential_velocity
1.0,1.5,3.0,15,5,12,0,tangential_velocity
1.0,2.0,1.0,0,0,12,0,tangential_velocity
1.0,2.0,1.5,0,0,12,0,tangential_velocity
1.0,2.0,2.0,0,0,12,0,tangential_velocity
1.0,2.0,3.0,15,5,12,0,tangential_velocity
1.0,3.0,1.0,0,0,12,0,tangential_velocity
1.0,3.0,1.5,0,0,12,0,tangential_velocity
1.0,3.0,2.0,0,0,12,0,tangential_velocity
1.0,3.0,3.0,15,5,12,0,tangential_velocity
1.5,1.0,1.0,0,0,12,0,tangential_velocity
1.5,1.0,1.5,0,0,12,0,tangential_velocity
1.5,1.0,2.0,0,0,12,0,tangential_velocity
1.5,1.0,3.0,12,4,12,0,tangential_velocity
1.5,1.5,1.0,0,0,12,0,tangential_velocity
1.5,1.5,1.5,0,0,12,0,tangential_velocity
1.5,1.5,2.0,0,0,12,0,tangential_velocity
1.5,1.5,3.0,15,5,12,0,tangential_velocity
1.5,2.0,1.0,0,0,12,0,tangential_velocity
1.5,2.0,1.5,0,0,12,0,tangential_velocity
1.5,2.0,2.0,0,0,12,0,tangential_velocity
1.5,2.0,3.0,15,5,12,0,tangential_velocity
1.5,3.0,1.0,0,0,12,0,tangential_velocity
1.5,3.0,1.5,0,0,12,0,tangential_velocity
1.5,3.0,2.0,0,0,12,0,tangential_velocity
1.5,3.0,3.0,15,5,12,0,tangential_velocity
2.0,1.0,1.0,0,0,12,0,tangential_velocity
2.0,1.0,1.5,0,0,12,0,tangential_velocity
2.0,1.0,2.0,0,0,12,0,tangential_velocity
2.0,1.0,3.0,12,4,12,0,tangential_velocity
2.0,1.5,1.0,0,0,12,0,tangential_velocity
2.0,1.5,1.5,0,0,12,0,tangential_velocity
2.0,1.5,2.0,0,0,12,0,tangential_velocity
2.0,1.5,3.0,15,5,12,0,tangential_velocity
2.0,2.0,1.0,0,0,12,0,tangential_velocity
2.0,2.0,1.5,0,0,12,0,tangential_velocity
2.0,2.0,2.0,0,0,12,0,tangential_velocity
2.0,2.0,3.0,15,5,12,0,tangential_velocity
2.0,3.0,1.0,0,0,12,0,tangential_velocity
2.0,3.0,1.5,0,0,12,0,tangential_velocity
2.0,3.0,2.0,0,0,12,0,tangential_velocity
2.0,3.0,3.0,15,5,12,0,tangential_velocity
3.0,1.0,1.0,0,0,12,0,tangential_velocity
3.0,1.0,1.5,0,0,12,0,tangential_velocity
3.0,1.0,2.0,0,0,12,0,tangential_velocity
3.0,1.0,3.0,12,4,12,0,tangential_velocity
3.0,1.5,1.0,0,0,12,0,tangential_velocity
3.0,1.5,1.5,0,0,12,0,tangential_velocity
3.0,1.5,2.0,0,0,12,0,tangential_velocity
3.0,1.5,3.0,15,5,12,0,tangential_velocity
3.0,2.0,1.0,0,0,12,0,tangential_velocity
3.0,2.0,1.5,0,0,12,0,tangential_velocity
3.0,2.0,2.0,0,0,12,0,tangential_velocity
3.0,2.0,3.0,15,5,12,0,tangential_velocity
3.0,3.0,1.0,0,0,12,0,tangential_velocity
3.0,3.0,1.5,0,0,12,0,tangential_velocity
3.0,3.0,2.0,0,0,12,0,tangential_velocity
3.0,3.0,3.0,15,5,12,0,tangential_velocity
