controller_name,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,crossing_occurs,recoverable_crossing,capture_entered,success,crossing_radius_error_ratio,crossing_vr_ratio,crossing_vt_error_ratio,sync_error_at_crossing,crossing_sync_band,best_sync_error,best_pre_cross_sync_window,best_sync_band,predicted_crossing_step_at_burn,actual_crossing_step,timing_offset_steps,predicted_crossing_vt_error_ratio,actual_crossing_vt_error_ratio,predicted_crossing_sync_error,min_distance_to_recoverable,pre_burn_vt_error_ratio,post_burn_vt_error_ratio,pre_post_burn_vt_correction,vt_improvement_burn_a_to_b,overspeed,instability,termination_reason
phase27_predicted_cross_vt_targeting,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1.0,False,False,False,False,,,,,unknown,7.974741506151614,7.974741506151614,outside_3x,719895,,,0.177336733708044,,25.589085632810303,7.999250674775089,0.20177165852883766,7.54762368977209e-08,0.20177158305260076,-0.018164144537293675,False,False,max_steps
phase27_predicted_cross_vt_targeting,r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,1.0,True,False,True,True,1.9467604166666666e-10,-0.005988015668111895,-0.7800950243010297,3.120380097204119,outside_3x,2.947441621382349,2.947441621382349,C_3x,,631,,,-0.7800950243010297,,2.977871114143954,,7.782391104556687e-15,,,False,False,success
phase27_predicted_cross_vt_targeting,r0=1.02|angle=150|thrust=8000|target=1,1.02,150.0,8000.0,1.0,False,False,False,False,,,,,unknown,24.08077810141662,24.08077810141662,outside_3x,,,,,,,25.625866564702612,,-0.47087713745199994,,,False,False,max_steps
phase27_predicted_cross_vt_targeting,r0=1.05|angle=150|thrust=8000|target=1,1.05,150.0,8000.0,1.0,False,False,False,False,,,,,unknown,23.199700301768594,24.39750182371332,outside_3x,,,,,,,30.989889093950367,,-0.8187139722511465,,,False,False,max_steps
phase27_predicted_cross_vt_targeting,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,1.0,False,False,False,False,,,,,unknown,7.975548119424635,7.975548119424635,outside_3x,1390738,,,0.27414578591340294,,15.38433282104017,8.000044550121315,0.302795077885787,3.883173182496976e-08,0.3027950390540552,-0.01817012841329607,False,False,max_steps
phase27_predicted_cross_vt_targeting,r0=1|angle=165|thrust=8000|target=1,1.0,165.0,8000.0,1.0,True,False,True,True,3.5278919270833335e-10,-0.020933166025926386,-0.7471762106990555,2.988704842796222,C_3x,2.9819871996756193,2.9819871996756193,C_3x,,182,,,-0.7471762106990555,,3.1567937662689762,,7.566213573874556e-15,,,False,False,success
phase27_predicted_cross_vt_targeting,r0=1.02|angle=165|thrust=8000|target=1,1.02,165.0,8000.0,1.0,False,False,False,False,,,,,unknown,12.403802108195135,12.403802108195135,outside_3x,,,,,,,14.968683117592679,,-0.3715198601031878,,,False,False,max_steps
phase27_predicted_cross_vt_targeting,r0=1.05|angle=165|thrust=8000|target=1,1.05,165.0,8000.0,1.0,False,False,False,False,,,,,unknown,20.0,20.0,outside_3x,,,,,,,23.56209253144189,,-0.7213263562190099,,,False,False,max_steps
phase27_predicted_cross_vt_targeting,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,1.0,False,False,False,False,,,,,unknown,7.975831130506197,7.975831130506197,outside_3x,2072866,,,0.2891996078888292,,12.695789523478695,8.000325845994787,0.32189075812932055,3.559861829097816e-08,0.3218907225307023,-0.0181713506546044,False,False,max_steps
phase27_predicted_cross_vt_targeting,r0=1|angle=170|thrust=8000|target=1,1.0,170.0,8000.0,1.0,True,False,True,True,2.920735677083333e-10,-0.006324852049514541,-0.911636861908399,3.646547447633596,outside_3x,2.7583422206813726,2.7583422206813726,C_3x,,2307,,,-0.911636861908399,,2.971756020030534,,7.350036043192427e-15,,,False,False,success
phase27_predicted_cross_vt_targeting,r0=1.02|angle=170|thrust=8000|target=1,1.02,170.0,8000.0,1.0,False,False,False,False,,,,,unknown,8.304710951405522,8.304710951405522,outside_3x,,,,,,,11.701750713617072,,-0.3525764081481217,,,False,False,max_steps
