source_phase,controller_name,case_id,family_label,window_quality_label,quality_score,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,initial_radius_ratio,initial_vr_ratio,initial_vt_error_ratio,initial_energy_error_ratio_reconstructed,initial_angular_momentum_error_ratio_reconstructed,initial_semi_major_axis_ratio,initial_periapsis_ratio,initial_apoapsis_ratio,initial_eccentricity_proxy,initial_orbit_crosses_target,initial_predicted_crossing_step,reported_initial_energy_error_ratio,reported_initial_angular_momentum_error_ratio,early_r_error_ratio,early_vr_ratio,early_vt_error_ratio,early_energy_error_ratio,early_angular_momentum_error_ratio,early_feature_source,insertion_windows,successful_insertion_windows,predicted_crossing_step,first_crossing_step,timing_offset_steps,crossing_radius_error_ratio,crossing_vr_ratio,crossing_vt_error_ratio,crossing_distance_to_recoverable,sync_error_at_crossing,min_distance_to_recoverable,best_vt_band,best_sync_band,recoverable_crossing,capture_entered,success,overspeed,instability,dominant_failure_variable,failure_cluster,missing_feature_notes
phase22,baseline_soft_linear_3e4,r0=0.98|angle=150|thrust=8000|target=1,dead_geometry,no_window,0.0,0.98,150.0,8000.0,1.0,0.98,0.5050762722761052,-0.12518223472029347,-0.020408163265306076,-0.1426785900258876,0.9800000000000001,0.49000000000000005,1.4700000000000002,0.5000000000000001,True,705902.4201763618,0.020408163265306076,-0.12518223472029355,,,,,,,0,0,,,,,,,,,,,,False,False,False,False,False,,,burn_a_end_or_pre_burn_state_missing;sync_error_missing_without_crossing;distance_to_recoverable_missing_without_geometry
phase22,baseline_soft_linear_3e4,r0=1|angle=150|thrust=8000|target=1,crossing_bad_sync,no_window,8.981031086060865,1.0,150.0,8000.0,1.0,1.0,0.4999999999999998,-0.1339745962155612,0.0,-0.13397459621556124,1.0,0.5,1.5,0.5,True,,0.0,-0.1339745962155613,,,,,,,0,0,,128,,3.2180052083333334e-10,-0.009158290866034995,-0.7594844569695679,3.134710956393185,3.0379378278782716,3.0722551936681657,,,False,True,True,False,False,tangential_velocity,radius_close_but_vt_bad,burn_a_end_or_pre_burn_state_missing
phase22,baseline_soft_linear_3e4,r0=1.02|angle=150|thrust=8000|target=1,dead_geometry,no_window,0.0,1.02,150.0,8000.0,1.0,1.02,0.49507377148833703,-0.14250707428745554,0.01960784313725499,-0.12535721577320472,1.0200000000000002,0.5100000000000002,1.53,0.49999999999999983,True,,0.01960784313725499,-0.14250707428745557,,,,,,,0,0,,,,,,,,,,,,False,False,False,False,False,,,burn_a_end_or_pre_burn_state_missing;sync_error_missing_without_crossing;distance_to_recoverable_missing_without_geometry
phase22,baseline_soft_linear_3e4,r0=1.05|angle=150|thrust=8000|target=1,dead_geometry,no_window,0.0,1.05,150.0,8000.0,1.0,1.05,0.4879500364742664,-0.1548457452714833,0.04761904761904765,-0.11258803253505753,1.05,0.525,1.5750000000000002,0.5000000000000001,True,,0.04761904761904765,-0.15484574527148331,,,,,,,0,0,,,,,,,,,,,,False,False,False,False,False,,,burn_a_end_or_pre_burn_state_missing;sync_error_missing_without_crossing;distance_to_recoverable_missing_without_geometry
phase22,baseline_soft_linear_3e4,r0=0.98|angle=165|thrust=8000|target=1,dead_geometry,no_window,0.0,0.98,165.0,8000.0,1.0,0.98,0.26144671698888494,-0.02426756872540107,-0.020408163265306076,-0.04378221735089306,0.9800000000000001,0.7263573357995292,1.2336426642004712,0.25881904510252135,True,1363698.7569766094,0.020408163265306076,-0.024267568725401145,,,,,,,0,0,,,,,,,,,,,,False,False,False,False,False,,,burn_a_end_or_pre_burn_state_missing;sync_error_missing_without_crossing;distance_to_recoverable_missing_without_geometry
phase22,baseline_soft_linear_3e4,r0=1|angle=165|thrust=8000|target=1,crossing_bad_sync,no_window,8.986787046208741,1.0,165.0,8000.0,1.0,1.0,0.25881904510252096,-0.034074173710931834,-2.104654818683916e-16,-0.034074173710931875,0.9999999999999999,0.7411809548974788,1.2588190451025212,0.2588190451025212,True,,2.104654818683916e-16,-0.03407417371093191,,,,,,,0,0,,79,,8.035268229166667e-10,-0.017967470973745035,-0.756606476895629,3.1666781075799455,3.026425907582516,3.1569492880101326,,,False,True,True,False,False,tangential_velocity,energy_mismatch,burn_a_end_or_pre_burn_state_missing
phase22,baseline_soft_linear_3e4,r0=1.02|angle=165|thrust=8000|target=1,dead_geometry,no_window,0.0,1.02,165.0,8000.0,1.0,1.02,0.25626904158383024,-0.04359091640216505,0.019607843137254777,-0.024462734730208335,1.0199999999999998,0.7560045739954291,1.2839954260045705,0.2588190451025204,True,,0.019607843137254777,-0.04359091640216495,,,,,,,0,0,,,,,,,,,,,,False,False,False,False,False,,,burn_a_end_or_pre_burn_state_missing;sync_error_missing_without_crossing;distance_to_recoverable_missing_without_geometry
phase22,baseline_soft_linear_3e4,r0=1.05|angle=165|thrust=8000|target=1,dead_geometry,no_window,0.0,1.05,165.0,8000.0,1.0,1.05,0.25258152499601993,-0.05735291566162611,0.04761904761904765,-0.010220561444707415,1.05,0.7782400026423528,1.3217599973576475,0.2588190451025212,True,,0.04761904761904765,-0.057352915661626036,,,,,,,0,0,,,,,,,,,,,,False,False,False,False,False,,,burn_a_end_or_pre_burn_state_missing;sync_error_missing_without_crossing;distance_to_recoverable_missing_without_geometry
phase22,baseline_soft_linear_3e4,r0=0.98|angle=170|thrust=8000|target=1,dead_geometry,no_window,0.0,0.98,170.0,8000.0,1.0,0.98,0.17541114852710393,-0.005193942399973061,-0.020408163265306496,-0.025090063551973553,0.9799999999999996,0.8098247858864084,1.150175214113591,0.17364817766693,True,2032565.0106456443,0.020408163265306496,-0.005193942399973062,,,,,,,0,0,,,,,,,,,,,,False,False,False,False,False,,,burn_a_end_or_pre_burn_state_missing;sync_error_missing_without_crossing;distance_to_recoverable_missing_without_geometry
phase22,baseline_soft_linear_3e4,r0=1|angle=170|thrust=8000|target=1,crossing_bad_sync,no_window,8.25265772660792,1.0,170.0,8000.0,1.0,1.0,0.17364817766693022,-0.015192246987791968,-2.104654818683916e-16,-0.015192246987791962,0.9999999999999999,0.8263518223330696,1.1736481776669303,0.17364817766693036,True,,2.104654818683916e-16,-0.01519224698779198,,,,,,,0,0,,42,,3.4974778645833334e-10,-0.01640397336941329,-1.1236711366960404,3.6602346470497937,4.494684546784161,4.568907422005989,,,False,True,True,False,False,tangential_velocity,radius_close_but_vt_bad,burn_a_end_or_pre_burn_state_missing
