group_type,group_name,case_count,crossing_cases,window_cases,good_window_cases,dead_window_cases,recoverable_crossings,capture,success,mean_quality_score,mean_sync_error_at_crossing,mean_min_distance_to_recoverable,dominant_family_label,dominant_failure_variable
all,all,576,144,132,0,132,0,144,144,2.3851568727582566,3.529856129045063,11.578321371058216,dead_geometry,tangential_velocity
source_phase,phase22,96,24,12,0,12,0,24,24,2.3527853304846023,3.511050689456516,3.5932336431746243,dead_geometry,tangential_velocity
source_phase,phase23,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,3.6377280479742464,dead_geometry,tangential_velocity
source_phase,phase24,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,3.6377280479742464,dead_geometry,tangential_velocity
source_phase,phase26,192,48,48,0,48,0,48,48,2.3916311812129867,3.5336172169627726,12.573688769949863,dead_geometry,
source_phase,phase27,192,48,48,0,48,0,48,48,2.3916311812129867,3.5336172169627726,12.573664103537515,dead_geometry,
controller,baseline_soft_linear_3e4,48,12,0,0,0,0,12,12,2.313939479756218,3.488484161950259,3.5487392383750014,dead_geometry,tangential_velocity
controller,phase22_two_burn_transfer,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,3.6377280479742464,dead_geometry,tangential_velocity
controller,phase23_windowed_insertion_solver,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,3.6377280479742464,dead_geometry,tangential_velocity
controller,phase24_precision_insertion_geometry,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,3.6377280479742464,dead_geometry,tangential_velocity
controller,phase26_burn_hold_burn,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.573680924373134,dead_geometry,
controller,phase26_stronger_tangential,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.573596426529654,dead_geometry,
controller,phase26_two_step_corridor,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.573593670481392,dead_geometry,
controller,phase26_vt_aware_scoring,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.573884058415267,dead_geometry,
controller,phase27_adaptive_sync_corridor,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.573599234036683,dead_geometry,
controller,phase27_delayed_sync_burn,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.57373509275046,dead_geometry,
controller,phase27_predicted_cross_vt_targeting,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.573773725354377,dead_geometry,
controller,phase27_split_phase_sync_burn,48,12,12,0,12,0,12,12,2.3916311812129867,3.5336172169627726,12.573548362008538,dead_geometry,
family_label,dead_geometry,300,0,0,0,0,0,0,0,0.0,,19.736790222706883,dead_geometry,
family_label,window_no_crossing,132,0,132,0,132,0,0,0,0.0,,7.999670289437122,window_no_crossing,
family_label,crossing_bad_sync,86,86,0,0,0,0,86,86,8.471638881932494,4.056722236135013,3.2705198703168623,crossing_bad_sync,tangential_velocity
family_label,near_recoverable_crossing,58,58,0,0,0,0,58,58,11.12567956659588,2.748640866808242,2.8127250500726495,near_recoverable_crossing,tangential_velocity
family_label,capture_success_existing,0,0,0,0,0,0,0,0,,,,,
