controller_name,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,phase28_reference_family_label,phase28_reference_window_quality,phase29_family_label,window_quality_label,crossing_occurs,recoverable_crossing,near_recoverable_crossing,capture_entered,success,insertion_windows,good_windows,dead_windows,sync_error_at_crossing,min_distance_to_recoverable,crossing_vr_ratio,crossing_vt_error_ratio,burn_a_end_radius_ratio,burn_a_end_vr_ratio,burn_a_end_vt_error_ratio,burn_a_end_energy_error_ratio,burn_a_end_angular_momentum_error_ratio,burn_a_end_eccentricity_proxy,burn_a_end_periapsis_ratio,burn_a_end_apoapsis_ratio,burn_a_end_orbit_crosses_target,burn_a_end_predicted_crossing_step,family_quality_score,overspeed,instability
phase29_baseline_phase22_burn_a,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,dead_geometry,no_window,window_no_crossing,dead_window_no_crossing,False,False,False,False,False,1,0,1,,,,,0.9800004769559255,0.49579972402077377,0.18360751399154399,0.6059287802295499,0.15993592824033054,0.6854169113465116,0.7982899356028477,4.276934794498014,True,719093,0.0,False,False
phase29_baseline_phase22_burn_a,r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,crossing_bad_sync,no_window,crossing_bad_sync,no_window,True,False,False,True,True,0,0,0,3.120380097204119,3.134710956393185,-0.005988015668111895,-0.7800950243010297,,,,,,,,,,,8.93980995139794,False,False
phase29_baseline_phase22_burn_a,r0=1.02|angle=150|thrust=8000|target=1,1.02,150.0,8000.0,dead_geometry,no_window,dead_geometry,no_window,False,False,False,False,False,0,0,0,,,,,1.0200004675100474,0.48598018772498364,-0.4513055010587962,-0.4235410189842285,-0.4403313545597811,0.7443827513935656,0.17956437166020744,1.2253828503222721,True,,0.0,False,False
phase29_baseline_phase22_burn_a,r0=1.05|angle=150|thrust=8000|target=1,1.05,150.0,8000.0,dead_geometry,no_window,dead_geometry,no_window,False,False,False,False,False,0,0,0,,,,,1.0500006171729654,0.46967137828890315,-0.7906194526914015,-0.6403293679993707,-0.7801502961019586,0.9595397318422709,0.02466594145484109,1.194601383155278,True,,0.0,False,False
phase29_baseline_phase22_burn_a,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,dead_geometry,no_window,window_no_crossing,dead_window_no_crossing,False,False,False,False,False,1,0,1,,,,,0.9800002468898223,0.2566434845518192,0.28462494947249095,0.6753113265789297,0.2589327676438668,0.6967044698229179,0.9341118277438504,5.225634919585132,True,1389204,0.0,False,False
phase29_baseline_phase22_burn_a,r0=1|angle=165|thrust=8000|target=1,1.0,165.0,8000.0,near_recoverable_crossing,no_window,near_recoverable_crossing,no_window,True,False,True,True,True,0,0,0,2.988704842796222,3.1666781075799455,-0.020933166025926386,-0.7471762106990555,,,,,,,,,,,11.00564757860189,False,False
phase29_baseline_phase22_burn_a,r0=1.02|angle=165|thrust=8000|target=1,1.02,165.0,8000.0,dead_geometry,no_window,dead_geometry,no_window,False,False,False,False,False,0,0,0,,,,,1.0200002420002223,0.2515603009451782,-0.35248661412242427,-0.478227678617212,-0.3395361897064895,0.5959686992420059,0.273321428493302,1.0796501258418683,True,,0.0,False,False
phase29_baseline_phase22_burn_a,r0=1.05|angle=165|thrust=8000|target=1,1.05,165.0,8000.0,dead_geometry,no_window,dead_geometry,no_window,False,False,False,False,False,0,0,0,,,,,1.0500003194701832,0.24311675008035075,-0.6933177526941889,-0.7516015702421596,-0.6779835423530648,0.9046371524395213,0.05444323023031711,1.087368945539484,True,,0.0,False,False
phase29_baseline_phase22_burn_a,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,dead_geometry,no_window,window_no_crossing,dead_window_no_crossing,False,False,False,False,False,1,0,1,,,,,0.9800001656444901,0.1721884583827116,0.30371940747471615,0.6885171770447284,0.27764523527915846,0.7011009169556716,0.9596005333727498,5.461299280698849,True,2070589,0.0,False,False
phase29_baseline_phase22_burn_a,r0=1|angle=170|thrust=8000|target=1,1.0,170.0,8000.0,crossing_bad_sync,no_window,crossing_bad_sync,no_window,True,False,False,True,True,0,0,0,3.646547447633596,3.6602346470497937,-0.006324852049514541,-0.911636861908399,,,,,,,,,,,8.676726276183203,False,False
