controller_name,post_cross_mode,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,crossing_occurs,crossing_step,crossing_sync,crossing_distance_to_recoverable,crossing_vr_ratio,crossing_vt_error_ratio,best_post_cross_step,best_post_cross_sync,best_distance_to_recoverable,best_post_cross_r_error_ratio,best_post_cross_vr_ratio,best_post_cross_vt_error_ratio,recoverable_state,recoverable_crossing,capture_entered,lock_entered,success,post_cross_duration,actual_post_cross_steps,control_smoothness,mean_post_cross_control_norm,max_post_cross_control_norm,radius_crossings_total,minimum_abs_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_stage,stage_counts_json,max_speed_ratio,overspeed,near_miss
phase31_phase22_baseline_reference,none,0.98,150.0,8000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,149552684346.02148,44.324188967479536,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.2998219393460562,False,False
phase31_phase22_baseline_reference,none,1.0,150.0,8000.0,1.0,True,631,3.120380097204119,3.134710956393185,-0.005988015668111895,-0.7800950243010297,,,3.134710956393185,,,,,False,True,True,True,0,0,,,,1,473.6396484375,19.644712995676638,852,True,False,success,phase76_handoff,"{""phase76_handoff"": 631}",1.0000000000000073,False,False
phase31_phase22_baseline_reference,none,1.02,150.0,8000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,150000208058.7246,2026.6388578588494,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9741850063012878,False,False
phase31_phase22_baseline_reference,none,0.98,165.0,8000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,149554963635.83203,44.324188966992175,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3277791329177384,False,False
phase31_phase22_baseline_reference,none,1.0,165.0,8000.0,1.0,True,182,2.988704842796222,3.1666781075799455,-0.020933166025926386,-0.7471762106990555,,,3.1666781075799455,,,,,False,True,True,True,0,0,,,,1,2175.0126953125,24.039640678408468,403,True,False,success,phase76_handoff,"{""phase76_handoff"": 182}",1.0000000000000073,False,False
phase31_phase22_baseline_reference,none,1.02,165.0,8000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,150000107699.07715,1044.0342145911768,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9725342061045669,False,False
phase31_phase22_baseline_reference,none,0.98,170.0,8000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,149555718428.92773,44.32418896683088,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3330339359186443,False,False
phase31_phase22_baseline_reference,none,1.0,170.0,8000.0,1.0,True,2307,3.646547447633596,3.6602346470497937,-0.006324852049514541,-0.911636861908399,,,3.6602346470497937,,,,,False,True,True,True,0,0,,,,1,470.41796875,20.503655353634183,2529,True,False,success,phase76_handoff,"{""phase76_handoff"": 2307}",1.0000000000000073,False,False
phase31_phase22_baseline_reference,none,1.02,170.0,8000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,150000072257.99902,696.6677659893638,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9722241532219635,False,False
phase31_phase22_baseline_reference,none,0.98,175.0,8000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,149556449828.98145,44.324188966674576,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3361986501889813,False,False
