transfer_family,r0_over_target,initial_velocity_angle_deg,thrust_scale,crossing_occurs,phase34_compatible_crossing,recoverable_crossing,min_abs_radius_error_ratio,best_crossing_potential,closest_approach_step,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,dominant_failure_label,termination_reason,simulator_success_label
baseline_phase34,0.98,150.0,8000.0,False,False,False,0.019940358714973308,0.8195056568900061,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,150.0,8000.0,False,False,False,0.019950449100542708,0.8202718158176867,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,150.0,8000.0,False,False,False,0.01998877418140651,0.8210917374573582,1425,,,,near_crossing,max_steps,False
spiral_approach,0.98,150.0,8000.0,False,False,False,0.019954204614816798,0.8224012408066633,99999,,,,near_crossing,max_steps,False
baseline_phase34,1.02,150.0,8000.0,False,False,False,0.02,0.6513922144357114,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,150.0,8000.0,False,False,False,0.01995127372901081,0.8192019746014406,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,150.0,8000.0,False,False,False,0.019989818978054037,0.8209095639555409,1423,,,,near_crossing,max_steps,False
spiral_approach,1.02,150.0,8000.0,False,False,False,0.019954922018296746,0.8200777816275783,100000,,,,near_crossing,max_steps,False
baseline_phase34,0.98,150.0,10000.0,False,False,False,0.01992563556877552,0.8205889613124586,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,150.0,10000.0,False,False,False,0.019917243802741406,0.8202715784115718,99999,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,150.0,10000.0,False,False,False,0.019961948869253645,0.8210914155933057,99999,,,,near_crossing,max_steps,False
spiral_approach,0.98,150.0,10000.0,False,False,False,0.019964522455915627,0.8222491185876676,100000,,,,near_crossing,max_steps,False
baseline_phase34,1.02,150.0,10000.0,False,False,False,0.02,0.6513922144357114,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,150.0,10000.0,False,False,False,0.019918037630878124,0.8192034842275364,100000,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,150.0,10000.0,False,False,False,0.019940436501203775,0.8208832981659924,100000,,,,near_crossing,max_steps,False
spiral_approach,1.02,150.0,10000.0,False,False,False,0.019946759853995962,0.8198024770160142,100000,,,,near_crossing,max_steps,False
baseline_phase34,0.98,165.0,8000.0,False,False,False,0.01994066262028138,0.8201918306652102,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,165.0,8000.0,False,False,False,0.01995062664079531,0.820271005685962,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,165.0,8000.0,False,False,False,0.019988998395845833,0.8212290065149677,1425,,,,near_crossing,max_steps,False
spiral_approach,0.98,165.0,8000.0,False,False,False,0.0199544090937418,0.8222559588866268,99999,,,,near_crossing,max_steps,False
baseline_phase34,1.02,165.0,8000.0,False,False,False,0.02,0.6879917616745811,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,165.0,8000.0,False,False,False,0.0199509974777375,0.820466262622997,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,165.0,8000.0,False,False,False,0.01998947843901927,0.8206859176620921,1423,,,,near_crossing,max_steps,False
spiral_approach,1.02,165.0,8000.0,False,False,False,0.01995468773274531,0.8192339257173511,100000,,,,near_crossing,max_steps,False
baseline_phase34,0.98,165.0,10000.0,False,False,False,0.019925930962777214,0.8188654583627708,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,165.0,10000.0,False,False,False,0.019917383315228646,0.8202709418065143,99999,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,165.0,10000.0,False,False,False,0.019962125917835676,0.8212395821401103,99999,,,,near_crossing,max_steps,False
spiral_approach,0.98,165.0,10000.0,False,False,False,0.01996469080573021,0.822334463687456,100000,,,,near_crossing,max_steps,False
baseline_phase34,1.02,165.0,10000.0,False,False,False,0.02,0.6879917616745811,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,165.0,10000.0,False,False,False,0.0199178179198694,0.8204537948131778,100000,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,165.0,10000.0,False,False,False,0.019940165050139583,0.8205725920084187,100000,,,,near_crossing,max_steps,False
spiral_approach,1.02,165.0,10000.0,False,False,False,0.01994654820948893,0.8180733173933579,100000,,,,near_crossing,max_steps,False
