r0_over_target,initial_velocity_angle_deg,thrust_scale,baseline_min_abs_radius_error_ratio,baseline_best_crossing_potential,baseline_closest_approach_step,baseline_dominant_failure_label
0.98,150.0,8000.0,0.019940358714973308,0.8195056568900061,100000,near_crossing
1.02,150.0,8000.0,0.02,0.6513922144357114,1,over_conservative_transfer
0.98,150.0,10000.0,0.01992563556877552,0.8205889613124586,100000,near_crossing
1.02,150.0,10000.0,0.02,0.6513922144357114,1,over_conservative_transfer
0.98,165.0,8000.0,0.01994066262028138,0.8201918306652102,100000,near_crossing
1.02,165.0,8000.0,0.02,0.6879917616745811,1,over_conservative_transfer
0.98,165.0,10000.0,0.019925930962777214,0.8188654583627708,100000,near_crossing
1.02,165.0,10000.0,0.02,0.6879917616745811,1,over_conservative_transfer
0.98,170.0,8000.0,0.019940763259360676,0.819203263836878,100000,near_crossing
1.02,170.0,8000.0,0.02,0.6955907540927446,1,over_conservative_transfer
0.98,170.0,10000.0,0.019926029337891928,0.8185252453084171,100000,near_crossing
1.02,170.0,10000.0,0.02,0.6955907540927446,1,over_conservative_transfer
0.98,175.0,8000.0,0.0199408607793681,0.8200178637850888,100000,near_crossing
1.02,175.0,8000.0,0.02,0.6984535440274389,1,over_conservative_transfer
0.98,175.0,10000.0,0.019926124983708073,0.8198746747332166,100000,near_crossing
1.02,175.0,10000.0,0.02,0.6984535440274389,1,over_conservative_transfer
