transfer_family,r0_over_target,initial_velocity_angle_deg,thrust_scale,delta_min_abs_radius_error_ratio,delta_best_crossing_potential,delta_closest_approach_step,changed_failure_label,improved_closest_approach,improved_crossing_potential,worsened_geometry
grazing_corridor,0.98,150.0,8000.0,1.00903855694e-05,0.000766158927681,-92972,False,False,True,True
redesigned_delayed_crossing,0.98,150.0,8000.0,4.84154664332e-05,0.00158608056735,-98575,False,False,True,True
spiral_approach,0.98,150.0,8000.0,1.38458998435e-05,0.00289558391666,-1,False,False,True,True
grazing_corridor,1.02,150.0,8000.0,-4.87262709892e-05,0.167809760166,7027,True,True,True,False
redesigned_delayed_crossing,1.02,150.0,8000.0,-1.0181021946e-05,0.16951734952,1422,True,True,True,False
spiral_approach,1.02,150.0,8000.0,-4.50779817033e-05,0.168685567192,99999,True,True,True,False
grazing_corridor,0.98,150.0,10000.0,-8.39176603411e-06,-0.000317382900887,-1,False,True,False,True
redesigned_delayed_crossing,0.98,150.0,10000.0,3.63133004781e-05,0.000502454280847,-1,False,False,True,True
spiral_approach,0.98,150.0,10000.0,3.88868871401e-05,0.00166015727521,0,False,False,True,True
grazing_corridor,1.02,150.0,10000.0,-8.19623691219e-05,0.167811269792,99999,True,True,True,False
redesigned_delayed_crossing,1.02,150.0,10000.0,-5.95634987962e-05,0.16949108373,99999,True,True,True,False
spiral_approach,1.02,150.0,10000.0,-5.3240146004e-05,0.16841026258,99999,True,True,True,False
grazing_corridor,0.98,165.0,8000.0,9.96402051393e-06,7.91750207518e-05,-92972,False,False,True,True
redesigned_delayed_crossing,0.98,165.0,8000.0,4.83357755645e-05,0.00103717584976,-98575,False,False,True,True
spiral_approach,0.98,165.0,8000.0,1.37464734604e-05,0.00206412822142,-1,False,False,True,True
grazing_corridor,1.02,165.0,8000.0,-4.90025222625e-05,0.132474500948,7027,True,True,True,False
redesigned_delayed_crossing,1.02,165.0,8000.0,-1.05215609807e-05,0.132694155988,1422,True,True,True,False
spiral_approach,1.02,165.0,8000.0,-4.53122672547e-05,0.131242164043,99999,True,True,True,False
grazing_corridor,0.98,165.0,10000.0,-8.54764754857e-06,0.00140548344374,-1,False,True,True,False
redesigned_delayed_crossing,0.98,165.0,10000.0,3.61949550585e-05,0.00237412377734,-1,False,False,True,True
spiral_approach,0.98,165.0,10000.0,3.8759842953e-05,0.00346900532469,0,False,False,True,True
grazing_corridor,1.02,165.0,10000.0,-8.21820801306e-05,0.132462033139,99999,True,True,True,False
redesigned_delayed_crossing,1.02,165.0,10000.0,-5.98349498604e-05,0.132580830334,99999,True,True,True,False
spiral_approach,1.02,165.0,10000.0,-5.34517905111e-05,0.130081555719,99999,True,True,True,False
grazing_corridor,0.98,170.0,8000.0,9.92400148815e-06,0.00106746523546,-92972,False,False,True,True
redesigned_delayed_crossing,0.98,170.0,8000.0,4.83136055447e-05,0.00194187631565,-98575,False,False,True,True
spiral_approach,0.98,170.0,8000.0,1.37169671483e-05,0.00320992850238,-1,False,False,True,True
grazing_corridor,1.02,170.0,8000.0,-4.90680232345e-05,0.125077250702,7027,True,True,True,False
redesigned_delayed_crossing,1.02,170.0,8000.0,-1.06038563428e-05,0.12428016506,1422,True,True,True,False
spiral_approach,1.02,170.0,8000.0,-4.53853860783e-05,0.122845804827,99999,True,True,True,False
grazing_corridor,0.98,170.0,10000.0,-8.59849174154e-06,0.00174547961172,-1,False,True,True,False
redesigned_delayed_crossing,0.98,170.0,10000.0,3.61584896427e-05,0.00262314552454,-1,False,False,True,True
spiral_approach,0.98,170.0,10000.0,3.87207613773e-05,0.00327375424973,0,False,False,True,True
grazing_corridor,1.02,170.0,10000.0,-8.22337538027e-05,0.125142391646,99999,True,True,True,False
redesigned_delayed_crossing,1.02,170.0,10000.0,-5.99001527553e-05,0.124240737223,99999,True,True,True,False
spiral_approach,1.02,170.0,10000.0,-5.35151808647e-05,0.122275894101,99999,True,True,True,False
grazing_corridor,0.98,175.0,8000.0,9.88804217578e-06,0.000252584381932,-92972,False,False,True,True
redesigned_delayed_crossing,0.98,175.0,8000.0,4.8295772187e-05,0.00107214056299,-98575,False,False,True,True
spiral_approach,0.98,175.0,8000.0,1.36911074005e-05,0.00156289793529,-1,False,False,True,True
grazing_corridor,1.02,175.0,8000.0,-4.91283647836e-05,0.121168826544,7027,True,True,True,False
redesigned_delayed_crossing,1.02,175.0,8000.0,-1.06819648948e-05,0.120983277135,1422,True,True,True,False
spiral_approach,1.02,175.0,8000.0,-4.54537142121e-05,0.119543367415,99999,True,True,True,False
grazing_corridor,0.98,175.0,10000.0,-8.64586907175e-06,0.000395829935456,-1,False,True,True,False
redesigned_delayed_crossing,0.98,175.0,10000.0,3.61257141257e-05,0.00121537501282,-1,False,False,True,True
spiral_approach,0.98,175.0,10000.0,3.86849512943e-05,0.00196205964702,0,False,False,True,True
grazing_corridor,1.02,175.0,10000.0,-8.22810662293e-05,0.121185509922,99999,True,True,True,False
redesigned_delayed_crossing,1.02,175.0,10000.0,-5.9961742802e-05,0.120955787946,99999,True,True,True,False
spiral_approach,1.02,175.0,10000.0,-5.3573926313e-05,0.119247443484,99999,True,True,True,False
