controller_name,variant_name,commit_timing,radial_magnitude_label,radial_magnitude,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,baseline_non_crossing_case,crossing_occurs,first_crossing_step,phase34_compatible_crossing,recoverable_crossing,recoverable_state,new_crossing_on_baseline_non_crossing_case,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,best_post_cross_distance,best_post_cross_sync,min_abs_radius_error,min_abs_radius_error_ratio,closest_approach_step,best_crossing_potential,dominant_failure_label,overspeed,instability,max_speed_ratio,termination_reason,simulator_success_label
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,150.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974656661983094,8.027849061410937,149994827499.5996,0.019999310333279948,89,0.8200575739595385,near_crossing,False,False,1.270396664986756,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,150.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.263289748115994,3.999999999999999,0.0,0.0,1,0.7720677359553495,near_crossing,False,False,0.9565684755794986,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,150.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.000864756594101,8.015679678257708,150000000000.0,0.02,1,0.8197932892461518,near_crossing,False,False,1.0001924617619131,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,165.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974732673049084,8.027934041840938,149996420835.0537,0.01999952277800716,89,0.8207157483021901,near_crossing,False,False,1.3376971234997421,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,165.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.298695139690067,3.999999999999999,0.0,0.0,1,0.8089852465208062,near_crossing,False,False,0.956553610199387,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,165.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.000751940935526,8.01554827375552,150000000000.0,0.02,1,0.8208460955649259,near_crossing,False,False,1.0001924610452442,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,170.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974759507884302,8.027964043164427,149996983343.11426,0.0199995977790819,89,0.820612314947244,near_crossing,False,False,1.3484579227095224,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,170.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.298915825472347,3.999999999999999,0.0,0.0,1,0.8166560254058768,near_crossing,False,False,0.9565833933500675,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,170.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.00071851770638,8.015510737316614,149999371617.45117,0.019999916215660156,89,0.8206003008861597,near_crossing,False,False,1.0001924608416328,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,175.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974786309475133,8.027994007298958,149997545153.89355,0.019999672687185808,89,0.820235733017598,near_crossing,False,False,1.3528549909416925,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,175.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.300455753147031,3.999999999999999,0.0,0.0,1,0.8213963323799434,near_crossing,False,False,0.9566349113408428,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,175.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.00068653349468,8.015474816952812,149998698128.21777,0.019999826417095704,89,0.821027511378169,near_crossing,False,False,1.0001924606460526,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,150.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.014741698855808,8.005394217761458,149994507507.09375,0.0199992676676125,6841,0.8200169924147765,near_crossing,False,False,1.3437266259516258,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,150.0,10000.0,1.0,False,True,1375,True,True,True,False,-0.002514457528553389,-1.02080985699837,4.08323942799348,0.9688528336812173,0.968852833672963,0.0,0.0,1,0.943730590964457,,False,False,1.000000000000006,simulator_success_label,True
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,150.0,10000.0,1.0,True,False,,False,False,False,False,,,,8.890938246275136,7.99405447051573,149888520878.80664,0.01998513611717422,100000,0.8196407189453674,near_crossing,False,False,1.000192461133917,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,165.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.014807436852083,8.005468259817656,149995895745.43945,0.019999452766058592,6841,0.8193583939087956,near_crossing,False,False,1.4188018373843156,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,165.0,10000.0,1.0,False,True,720,True,True,True,False,-0.0034106487013797933,-0.966656795975724,3.866627183902896,0.9788477063420391,0.9788477059176147,0.0,0.0,1,0.9437305900677712,,False,False,1.000000000000006,simulator_success_label,True
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,165.0,10000.0,1.0,True,False,,False,False,False,False,,,,8.995927184107078,7.993941355722292,149886403454.5244,0.019984853793936587,99999,0.8201278562192319,near_crossing,False,False,1.0001924605282257,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,170.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.014830586009259,8.00549433314927,149996384602.75098,0.019999517947033463,6841,0.8194001367859669,near_crossing,False,False,1.4312769627553927,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,170.0,10000.0,1.0,False,True,470,True,True,True,False,-0.003946645319825053,-0.9673900314203601,3.8695601256814403,0.9972654402276943,0.9972654394633138,0.0,0.0,1,0.9437305889848717,,False,False,1.0000000000000058,simulator_success_label,True
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,170.0,10000.0,1.0,True,False,,False,False,False,False,,,,8.995895492459361,7.993905694898594,149885734814.08203,0.019984764641877605,99999,0.8201819866165871,near_crossing,False,False,1.0001924603344616,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,0.98,175.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.014853857474485,8.00552054422604,149996876042.66504,0.01999958347235534,6841,0.8198746747332166,near_crossing,False,False,1.4369776007684092,max_steps,False
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.0,175.0,10000.0,1.0,False,True,203,True,True,True,False,-0.002918324283766283,-1.0248831544206272,4.099532617682509,0.9988304407932312,0.9988304407866659,0.0,0.0,1,0.9437305896686111,,False,False,1.0000000000000058,simulator_success_label,True
phase37a_radial_commit_timing,early_commit_low,early_commit,low,0.055,1.02,175.0,10000.0,1.0,True,False,,False,False,False,False,,,,8.99586581078724,7.993872295757917,149885108580.19336,0.01998468114402578,99999,0.820340736431522,near_crossing,False,False,1.0001924601528582,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,0.98,150.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.342781495651622,8.044575565351874,149993252023.00488,0.019999100269733984,84,0.8213823682850883,near_crossing,False,False,1.3353423198738859,max_steps,False
