case_id,group,r0_over_target,initial_velocity_angle_deg,thrust_scale,setting,crossing_occurs,phase34_compatible_crossing,recoverable_crossing,simulator_success_label,min_abs_radius_error_ratio,closest_approach_step,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,best_post_cross_distance,overspeed,instability,failure_label
selected_01,selected_non_crossing,1.02,150.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.02,1,,,,8.971289622310797,False,False,near_crossing
selected_02,selected_non_crossing,1.02,165.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.01999996687036185,119,,,,8.962428501022616,False,False,near_crossing
selected_03,selected_non_crossing,1.02,170.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.019999868866916928,117,,,,8.962393781716328,False,False,near_crossing
selected_04,selected_non_crossing,1.02,175.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.01999976119905599,117,,,,8.962355294848676,False,False,near_crossing
regression_01,regression_crossing,1.0,150.0,8000.0,early_commit_low_radial_only,True,True,True,True,0.0,1,-0.0011101446802316154,-1.0060229966957421,4.0240919867829685,0.9949225386789041,False,False,
regression_02,regression_crossing,1.0,165.0,8000.0,early_commit_low_radial_only,True,True,True,True,0.0,1,-0.0011785048711432996,-0.9902915768455274,3.9611663073821095,0.9835386138921751,False,False,
regression_03,regression_crossing,1.0,170.0,8000.0,early_commit_low_radial_only,True,True,True,True,0.0,1,-0.0011927395896500182,-0.9902931212946021,3.9611724851784085,0.9837991751610017,False,False,
regression_04,regression_crossing,1.0,175.0,8000.0,early_commit_low_radial_only,True,True,True,True,0.0,1,-0.0012931671901690285,-0.9903046234227367,3.961218493690947,0.9857665321606205,False,False,
regression_05,regression_crossing,1.0,150.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.0,1,,,,4.03992611124558,False,False,near_crossing
regression_06,regression_crossing,1.0,165.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.0,1,,,,4.0268239487878175,False,False,near_crossing
regression_07,regression_crossing,1.0,170.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.0,1,,,,4.027182651160019,False,False,near_crossing
regression_08,regression_crossing,1.0,175.0,10000.0,early_commit_low_radial_only,False,False,False,False,0.0,1,,,,4.026995486928671,False,False,near_crossing
selected_01,selected_non_crossing,1.02,150.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.02,1,,,,8.959745265250563,False,False,near_crossing
selected_02,selected_non_crossing,1.02,165.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.01999995645058138,118,,,,8.97526645409009,False,False,near_crossing
selected_03,selected_non_crossing,1.02,170.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.01999985615656172,117,,,,8.959600304049893,False,False,near_crossing
selected_04,selected_non_crossing,1.02,175.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.019999747587073697,117,,,,8.959561480392626,False,False,near_crossing
regression_01,regression_crossing,1.0,150.0,8000.0,early_commit_low_plus_weak_tangential,True,True,True,True,0.0,1,-0.0011101446802316154,-1.0060229966957421,4.0240919867829685,0.9949225386789041,False,False,
regression_02,regression_crossing,1.0,165.0,8000.0,early_commit_low_plus_weak_tangential,True,True,True,True,0.0,1,-0.0011785048711432996,-0.9902915768455274,3.9611663073821095,0.9835386138921751,False,False,
regression_03,regression_crossing,1.0,170.0,8000.0,early_commit_low_plus_weak_tangential,True,True,True,True,0.0,1,-0.0011927395896500182,-0.9902931212946021,3.9611724851784085,0.9837991751610017,False,False,
regression_04,regression_crossing,1.0,175.0,8000.0,early_commit_low_plus_weak_tangential,True,True,True,True,0.0,1,-0.0012931671901690285,-0.9903046234227367,3.961218493690947,0.9857665321606205,False,False,
regression_05,regression_crossing,1.0,150.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.0,1,,,,4.03992611124558,False,False,near_crossing
regression_06,regression_crossing,1.0,165.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.0,1,,,,4.0268239487878175,False,False,near_crossing
regression_07,regression_crossing,1.0,170.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.0,1,,,,4.027182651160019,False,False,near_crossing
regression_08,regression_crossing,1.0,175.0,10000.0,early_commit_low_plus_weak_tangential,False,False,False,False,0.0,1,,,,4.026995486928671,False,False,near_crossing
