pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,1.628582170936331204e+04,4.875654956088535073e+03,-5.000000000000000278e-02,0.000000000000000000e+00
5.862806064678271860e+07,1.500175522519346313e+11,1.628557240188408832e+04,4.875625537401111615e+03,-7.816728903749069072e-05,-1.999999847246867468e-01
1.172561198490720540e+08,1.500351008079593811e+11,1.628557200063592609e+04,4.874598895763341716e+03,-1.563077144279770162e-04,-1.999999389197367194e-01
1.758841761628859043e+08,1.500526456680998840e+11,1.628557119828163013e+04,4.873572261253946635e+03,-2.344316914718459332e-04,-1.999998626044079408e-01
2.345122281445665956e+08,1.500701868323824158e+11,1.628556999491130409e+04,4.872545634034639988e+03,-3.125377705585024148e-04,-1.999997558002058751e-01
2.931402743508068323e+08,1.500877243008337708e+11,1.628556839062228755e+04,4.871519014267009879e+03,-3.906256414555711359e-04,-1.999996185286568029e-01
3.517683133386553526e+08,1.501052580734813843e+11,1.628556638551347351e+04,4.870492402112520722e+03,-4.686951838631002389e-04,-1.999994508113075442e-01
4.103963436655190587e+08,1.501227881503532104e+11,1.628556397968436249e+04,4.869465797732515057e+03,-5.467463317784581949e-04,-1.999992526697254580e-01
4.690243638891643286e+08,1.501403145314778442e+11,1.628556117323479339e+04,4.868439201288209915e+03,-6.247790395875649997e-04,-1.999990241254984147e-01
5.276523725677177310e+08,1.501578372168844299e+11,1.628555796626483971e+04,4.867412612940698637e+03,-7.027932707619781103e-04,-1.999987652002346294e-01
5.862803682596669197e+08,1.501753562066026917e+11,1.628555435887476597e+04,4.866386032850951779e+03,-7.807889933377314389e-04,-1.999984759155626346e-01
6.449083495238609314e+08,1.501928715006629333e+11,1.628555035116500039e+04,4.865359461179813479e+03,-8.587661778602687871e-04,-1.999981562931312518e-01
7.035363149195109606e+08,1.502103830990960388e+11,1.628554594323612764e+04,4.864332898088006004e+03,-9.367247963569131372e-04,-1.999978063546095364e-01
7.621642630061908960e+08,1.502278910019335022e+11,1.628554113518887971e+04,4.863306343736125200e+03,-1.014664821783587984e-03,-1.999974261216864724e-01
8.207921923438377380e+08,1.502453952092073364e+11,1.628553592712413047e+04,4.862279798284644130e+03,-1.092586227708660512e-03,-1.999970156160711943e-01
8.794201014927521944e+08,1.502628957209501648e+11,1.628553031914289386e+04,4.861253261893911258e+03,-1.170488988123252186e-03,-1.999965748594927373e-01
9.380479890135989189e+08,1.502803925371951599e+11,1.628552431134632025e+04,4.860226734724148628e+03,-1.248373077322683516e-03,-1.999961038737000651e-01
9.966758534674074650e+08,1.502978856579761353e+11,1.628551790383569642e+04,4.859200216935454591e+03,-1.326238469829768389e-03,-1.999956026804618203e-01
1.055303693415572286e+09,1.503153750833274231e+11,1.628551109671244194e+04,4.858173708687803810e+03,-1.404085140343677663e-03,-1.999950713015664905e-01
1.113931507419853449e+09,1.503328608132839355e+11,1.628550389007811100e+04,4.857147210141043615e+03,-1.481913063704954356e-03,-1.999945097588221588e-01
1.172559294042377234e+09,1.503503428478811646e+11,1.628549628403439056e+04,4.856120721454898558e+03,-1.559722214871027152e-03,-1.999939180740565592e-01
1.231187051845636368e+09,1.503678211871552124e+11,1.628548827868310036e+04,4.855094242788966767e+03,-1.637512568898718754e-03,-1.999932962691167437e-01
1.289814779392490625e+09,1.503852958311427002e+11,1.628547987412619113e+04,4.854067774302720863e+03,-1.715284100931534260e-03,-1.999926443658693598e-01
1.348442475246167183e+09,1.504027667798808594e+11,1.628547107046574456e+04,4.853041316155507957e+03,-1.793036786190260051e-03,-1.999919623862003171e-01
1.407070137970261574e+09,1.504202340334074707e+11,1.628546186780397511e+04,4.852014868506551466e+03,-1.870770599965918858e-03,-1.999912503520148988e-01
1.465697766128737211e+09,1.504376975917609253e+11,1.628545226624322459e+04,4.850988431514947479e+03,-1.948485517614414022e-03,-1.999905082852375116e-01
1.524325358285926580e+09,1.504551574549801331e+11,1.628544226588596757e+04,4.849962005339667485e+03,-2.026181514552416029e-03,-1.999897362078116581e-01
1.582952913006531954e+09,1.504726136231046448e+11,1.628543186683480781e+04,4.848935590139555643e+03,-2.103858566254162166e-03,-1.999889341416999644e-01
1.641580428855624914e+09,1.504900660961744995e+11,1.628542106919247635e+04,4.847909186073332421e+03,-2.181516648248939868e-03,-1.999881021088840138e-01
1.700207904398647547e+09,1.505075148742303772e+11,1.628540987306183524e+04,4.846882793299590958e+03,-2.259155736119099374e-03,-1.999872401313642634e-01
1.758835338201412678e+09,1.505249599573135071e+11,1.628539827854587747e+04,4.845856411976797972e+03,-2.336775805498458435e-03,-1.999863482311601270e-01
