pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,1.628582170936331204e+04,-4.875654956088533254e+03,-1.199999999999999956e-01,0.000000000000000000e+00
5.862680413708742708e+07,1.499824475362507935e+11,1.628522337141317439e+04,-4.875684374775956712e+03,2.345243813692436457e-04,5.999999541652603074e-01
1.172536124425120950e+08,1.499649057366518250e+11,1.628522452928462917e+04,-4.872722110820630405e+03,4.691189277492082712e-04,5.999998166061649707e-01
1.758804290858416855e+08,1.499473746011759338e+11,1.628522684536933230e+04,-4.869759854415329755e+03,7.037647124659026331e-04,5.999995872625493165e-01
2.345072582375347018e+08,1.499298541297943115e+11,1.628523031991472453e+04,-4.866797606002414796e+03,9.384641765055547116e-04,5.999992660703756808e-01
2.931341040689842701e+08,1.499123443224766235e+11,1.628523495318043570e+04,-4.863835366024542964e+03,1.173217710306757909e-03,5.999988529657405145e-01
3.517609707525252700e+08,1.498948451791908875e+11,1.628524074542805465e+04,-4.860873134924668193e+03,1.408025362403455367e-03,5.999983478848744944e-01
4.103878624614352584e+08,1.498773566999035645e+11,1.628524769691943402e+04,-4.857910913146040912e+03,1.642887083516990409e-03,5.999977507641430785e-01
4.690147833699335456e+08,1.498598788845794983e+11,1.628525580791619359e+04,-4.854948701132206224e+03,1.877802787579298900e-03,5.999970615400470608e-01
5.276417376531798840e+08,1.498424117331819153e+11,1.628526507867954570e+04,-4.851986499327003912e+03,2.112772372074121253e-03,5.999962801492221276e-01
5.862687294872726202e+08,1.498249552456724854e+11,1.628527550947020427e+04,-4.849024308174567523e+03,2.347795726173627917e-03,5.999954065284400784e-01
6.448957630492466688e+08,1.498075094220112610e+11,1.628528710054834846e+04,-4.846062128119324370e+03,2.582872734437016791e-03,5.999944406146090481e-01
7.035228425170716047e+08,1.497900742621566772e+11,1.628529985217360081e+04,-4.843099959605994627e+03,2.818003278659917971e-03,5.999933823447732850e-01
7.621499720696496964e+08,1.497726497660655823e+11,1.628531376460501087e+04,-4.840137803079589503e+03,3.053187238870348156e-03,5.999922316561142610e-01
8.207771558868134022e+08,1.497552359336932373e+11,1.628532883810104431e+04,-4.837175658985412156e+03,3.288424493897916783e-03,5.999909884859504494e-01
8.794043981493239403e+08,1.497378327649932556e+11,1.628534507291958471e+04,-4.834213527769055872e+03,3.523714921715453800e-03,5.999896527717377692e-01
9.380317030388684273e+08,1.497204402599176941e+11,1.628536246931792266e+04,-4.831251409876404978e+03,3.759058399652613972e-03,5.999882244510702511e-01
9.966590747380583286e+08,1.497030584184169922e+11,1.628538102755275213e+04,-4.828289305753633016e+03,3.994454804534169901e-03,5.999867034616804817e-01
1.055286517430426955e+09,1.496856872404399414e+11,1.628540074788017228e+04,-4.825327215847201842e+03,4.229904012772299320e-03,5.999850897414390483e-01
1.113914035300427437e+09,1.496683267259337769e+11,1.628542163055568381e+04,-4.822365140603861619e+03,4.465405900429791908e-03,5.999833832283560930e-01
1.172541632533430576e+09,1.496509768748440857e+11,1.628544367583418534e+04,-4.819403080470649002e+03,4.700960343264382751e-03,5.999815838605806473e-01
1.231169313315722466e+09,1.496336376871148682e+11,1.628546688396997524e+04,-4.816441035894888955e+03,4.936567216760475232e-03,5.999796915764019634e-01
1.289797081834502697e+09,1.496163091626885071e+11,1.628549125521674796e+04,-4.813479007324191116e+03,5.172226396152284841e-03,5.999777063142487377e-01
1.348424942277882099e+09,1.495989913015057678e+11,1.628551678982759404e+04,-4.810516995206450702e+03,5.407937756441014675e-03,5.999756280126905539e-01
1.407052898834880114e+09,1.495816841035057983e+11,1.628554348805499649e+04,-4.807554999989848511e+03,5.643701172407794737e-03,5.999734566104375499e-01
1.465680955695423126e+09,1.495643875686261597e+11,1.628557135015083259e+04,-4.804593022122849106e+03,5.879516518623568132e-03,5.999711920463408621e-01
1.524309117050342083e+09,1.495471016968027649e+11,1.628560037636637389e+04,-4.801631062054200811e+03,6.115383669456777617e-03,5.999688342593931800e-01
1.582937387091370344e+09,1.495298264879699402e+11,1.628563056695228079e+04,-4.798669120232932983e+03,6.351302499079371222e-03,5.999663831887293020e-01
1.641565770011141300e+09,1.495125619420603638e+11,1.628566192215860428e+04,-4.795707197108358741e+03,6.587272881471591818e-03,5.999638387736255796e-01
1.700194270003186464e+09,1.494953080590050964e+11,1.628569444223478422e+04,-4.792745293130072241e+03,6.823294690425834273e-03,5.999612009535012502e-01
1.758822891261933327e+09,1.494780648387336121e+11,1.628572812742965289e+04,-4.789783408747946851e+03,7.059367799549765357e-03,5.999584696679184370e-01
1.817451637982702494e+09,1.494608322811737366e+11,1.628576297799142594e+04,-4.786821544412137882e+03,7.295492082268902403e-03,5.999556448565822597e-01
1.876080514361706257e+09,1.494436103862516785e+11,1.628579899416770786e+04,-4.783859700573079863e+03,7.531667411828755695e-03,5.999527264593415010e-01
1.934709524596045971e+09,1.494263991538920288e+11,1.628583617620549012e+04,-4.780897877681484715e+03,7.767893661296618700e-03,5.999497144161889395e-01
1.993338672883710146e+09,1.494091985840177612e+11,1.628587452435114756e+04,-4.777936076188342668e+03,8.004170703563108502e-03,5.999466086672614606e-01
2.051967963423571825e+09,1.493920086765502014e+11,1.628591403885043837e+04,-4.774974296544921344e+03,8.240498411343466847e-03,5.999434091528405011e-01
2.110597400415386438e+09,1.493748294314090576e+11,1.628595471994850777e+04,-4.772012539202765765e+03,8.476876657178703325e-03,5.999401158133526035e-01
2.169226988059790134e+09,1.493576608485124512e+11,1.628599656788988068e+04,-4.769050804613695618e+03,8.713305313436585028e-03,5.999367285893695279e-01
