pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,1.700000000000000000e+04,0.000000000000000000e+00,-8.481984952207728412e-01,5.531105409605494710e-02
6.118477471953177452e+07,1.500000008869338074e+11,1.699577075542549210e+04,2.463705019747892133e-01,-8.475157284426818594e-01,6.080359585857819660e-02
1.223543363711541295e+08,1.500000027593933411e+11,1.699154490322843412e+04,5.201276464665356425e-01,-1.019204552962530208e+00,1.602661481056833592e+00
1.835056030734987557e+08,1.500000332939412537e+11,1.698646297287350535e+04,8.481818867331757161e+00,-7.097161001745682096e-01,1.760968051478692953e+00
2.446441301439831257e+08,1.500000953322026062e+11,1.698292418624566199e+04,1.723285037718716950e+01,-1.004014791228645231e+00,1.610610215533839540e+00
3.057646348371751308e+08,1.500001861752337036e+11,1.697791797033111288e+04,2.523417530149406574e+01,-7.337975669731372497e-01,1.749588383488747567e+00
3.668719675465234518e+08,1.500003083177122498e+11,1.697425908593008717e+04,3.392846626181277969e+01,-5.604794561426960087e-01,1.811847245137808260e+00
4.279692393129798174e+08,1.500004628771939087e+11,1.697146437957120361e+04,4.293318934779453144e+01,-6.971941624767979961e-01,1.763025554115465798e+00
4.890539960454948545e+08,1.500006489773231201e+11,1.696798798125417670e+04,5.169448033523592301e+01,-1.087611219666586360e+00,1.552048210269558748e+00
5.501192296606923342e+08,1.500008628310279846e+11,1.696256489311041514e+04,5.940380691017573156e+01,-7.286809173969942544e-01,1.748768367229057485e+00
6.111713829641009569e+08,1.500011079694633484e+11,1.695893147316904651e+04,6.809400982232833144e+01,-1.088407587643269725e+00,1.549823323749544457e+00
6.722039987690659761e+08,1.500013808215389404e+11,1.695350439026807362e+04,7.579224322379087653e+01,-8.376850244292035619e-01,1.697729601817530298e+00
7.332215775372384787e+08,1.500016840421939087e+11,1.694932743560346717e+04,8.422795971281050242e+01,-9.828153348607363560e-01,1.617249660971582292e+00
7.942215141163722277e+08,1.500020161868031921e+11,1.694442682753714325e+04,9.226239146531990798e+01,-1.081936148805232589e+00,1.551856604901933112e+00
8.552020292310695648e+08,1.500023760815534973e+11,1.693903197630480281e+04,9.997076397146385318e+01,-6.479654064024290561e-01,1.776628757947851023e+00
9.161709126732200384e+08,1.500027677611373291e+11,1.693580095615291430e+04,1.087998843935123858e+02,-7.267027349282593196e-01,1.745164192745082055e+00
9.771267510538381338e+08,1.500031906607626648e+11,1.693217732794946642e+04,1.174721181522399007e+02,-8.064199020920169714e-01,1.709037662497655985e+00
1.038068113395710230e+09,1.500036441319547424e+11,1.692815620607557503e+04,1.259642200193395780e+02,-8.930402318724762756e-01,1.664641598539032374e+00
1.098993444808910131e+09,1.500041273777995300e+11,1.692370317033327956e+04,1.342349568892254865e+02,-6.605603540341388191e-01,1.769080013156359321e+00
1.159906918296448469e+09,1.500046422729826660e+11,1.692040930209399448e+04,1.430264397615669338e+02,-1.010249299436233539e+00,1.594620281699506759e+00
1.220802256850337267e+09,1.500051856859295044e+11,1.691537182052464050e+04,1.509480407881027588e+02,-1.045750996959331935e+00,1.570750650167265894e+00
1.281678823167219162e+09,1.500057571881786499e+11,1.691015731024495472e+04,1.587506247586320569e+02,-5.414386339621276578e-01,1.806968197579915447e+00
1.342545669680905819e+09,1.500063610198696594e+11,1.690745736491293792e+04,1.677310252778269728e+02,-8.240755769973853173e-01,1.696062574964617653e+00
1.403397722976179600e+09,1.500069951902332153e+11,1.690334813757602024e+04,1.761584343228265652e+02,-1.098732031933660203e+00,1.531651896965890991e+00
