pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,1.700000000000000000e+04,0.000000000000000000e+00,-8.458951855270672171e-01,-8.343461573069449466e-02
6.118481606425978988e+07,1.499999983964298096e+11,1.699578224007216340e+04,-4.454361619813022033e-01,-8.496024815129794572e-01,1.247439914586108249e-02
1.223543816031035036e+08,1.499999969108695679e+11,1.699154598301214355e+04,-4.126556225741742634e-01,-1.016152663549498625e+00,1.604598238813721434e+00
1.835057069745070934e+08,1.500000241221627808e+11,1.698647926983432990e+04,7.558692559881755813e+00,-1.013787082345282142e+00,1.605285386728946273e+00
2.446388345978052914e+08,1.500000800426440125e+11,1.698142433980505302e+04,1.553346701198577762e+01,-9.143808068569196923e-01,1.663135204197045969e+00
3.057555487862489223e+08,1.500001657107257690e+11,1.697686505234545984e+04,2.379668938068859418e+01,-7.868148286861297303e-01,1.726395321557052887e+00
3.668581393236643672e+08,1.500002822619362793e+11,1.697294181594873226e+04,3.237533625685563976e+01,-8.712244473069862272e-01,1.684605479893174662e+00
4.279450910025665760e+08,1.500004289461425781e+11,1.696859768858394818e+04,4.074561285769339491e+01,-6.498368770128302163e-01,1.781025221025822614e+00
4.890203777173776031e+08,1.500006074940928955e+11,1.696535742078083786e+04,4.959665286347125601e+01,-1.067319305571154953e+00,1.566071937077184728e+00
5.500765055575630665e+08,1.500008140473466492e+11,1.696003551116262679e+04,5.737590382167034875e+01,-9.644678986989141389e-01,1.630634340978629249e+00
6.111153206770175695e+08,1.500010497648086853e+11,1.695522642207068566e+04,6.547707278869408754e+01,-1.012257547523001122e+00,1.600599284380773923e+00
6.721359652018349171e+08,1.500013141073464050e+11,1.695017903467147335e+04,7.342848270219651852e+01,-8.734824432093205582e-01,1.679592338171837840e+00
7.331409301212818623e+08,1.500016084928970032e+11,1.694582358873525664e+04,8.177376405527976999e+01,-6.411605534855755462e-01,1.780543622887176047e+00
7.941343856023924351e+08,1.500019347335510254e+11,1.694262652253072156e+04,9.062240389828097875e+01,-5.544937373251018764e-01,1.808696062785700054e+00
8.551178872834662199e+08,1.500022933346498108e+11,1.693986157807605559e+04,9.961141632841466276e+01,-9.398155651128488053e-01,1.641041015646228063e+00
9.160845185412802696e+08,1.500026812867632446e+11,1.693517534939280085e+04,1.077644759527894252e+02,-1.028534253680380761e+00,1.586131209452089186e+00
9.770326868200552464e+08,1.500030976042539978e+11,1.693004674410417283e+04,1.156437474337265172e+02,-8.212074423683902724e-01,1.701981529548519445e+00
1.037966113621753216e+09,1.500035443666527710e+11,1.692595188936056365e+04,1.241006663295989227e+02,-7.468959366865354221e-01,1.735136584563466977e+00
1.098886132805189610e+09,1.500040221690989075e+11,1.692222755095457615e+04,1.327229017052193853e+02,-5.275706907610127061e-01,1.813188694130029033e+00
1.159796681245914221e+09,1.500045324126401672e+11,1.691959678909014838e+04,1.417343170171495217e+02,-7.869371493914913973e-01,1.715851803835753087e+00
1.220693103237087965e+09,1.500050733500675659e+11,1.691567277532606386e+04,1.502603965038294405e+02,-9.170372912315459812e-01,1.649210526019353695e+00
1.281573063420175314e+09,1.500056437851627502e+11,1.691110005085757075e+04,1.584541931071647127e+02,-1.014133135118761908e+00,1.590541997454381740e+00
1.342434818868373871e+09,1.500062426648193665e+11,1.690604318005518508e+04,1.663554601735325775e+02,-7.323738085233928441e-01,1.737629828066992177e+00
1.403283427157680750e+09,1.500068726292863464e+11,1.690239119147414749e+04,1.749901297133256719e+02,-8.657665313563345233e-01,1.674400765844157979e+00
1.464116493827317715e+09,1.500075325435953064e+11,1.689807407489913021e+04,1.833095302653429428e+02,-9.478892533015070843e-01,1.628532533783743075e+00
1.524932544720137358e+09,1.500082215844072876e+11,1.689334747022767988e+04,1.914002255518352342e+02,-1.080495598057180207e+00,1.542914771454799938e+00
1.585729199490986347e+09,1.500089382148738708e+11,1.688795965856914700e+04,1.990640184947750697e+02,-6.884905424721025069e-01,1.752564926304099435e+00
1.646513494642024994e+09,1.500096861982467041e+11,1.688452643084410010e+04,2.077731591218853282e+02,-8.113236957562457441e-01,1.698441952281140921e+00
1.707283225258270025e+09,1.500104645630133667e+11,1.688048072673473143e+04,2.162124351829165505e+02,-7.909983413862319290e-01,1.707255933284076210e+00
1.768038756139792204e+09,1.500112734673885498e+11,1.687653635597839093e+04,2.246956597762881813e+02,-5.950408801703879202e-01,1.784314820127005596e+00
1.828783604707319975e+09,1.500121142945925903e+11,1.687356904653550737e+04,2.335631122372165862e+02,-9.070743095579576476e-01,1.646973857094042870e+00
1.889512169874748230e+09,1.500129845793389282e+11,1.686904587984119280e+04,2.417457628702015313e+02,-7.545196669517505450e-01,1.721470957207763330e+00
1.950227189976227045e+09,1.500138856588636169e+11,1.686528336152191696e+04,2.502998679716339723e+02,-1.056361244321515569e+00,1.553808364156213928e+00
2.010923246870836258e+09,1.500148145236028137e+11,1.686001580405810091e+04,2.580179831144415061e+02,-8.528369121755824400e-01,1.673423995591827973e+00
2.071603993805744171e+09,1.500157733206766968e+11,1.685576303747441489e+04,2.663325205234304462e+02,-5.527418041912022240e-01,1.794328886019852520e+00
2.132274817486936331e+09,1.500167642203478699e+11,1.685300657810894700e+04,2.752499086627912561e+02,-9.205102093482299130e-01,1.635623251466557404e+00
2.192929116377847195e+09,1.500177843738314209e+11,1.684841635858641530e+04,2.833759676564515644e+02,-6.163970038633942439e-01,1.772038893180494012e+00
2.253572349309897423e+09,1.500188362298103027e+11,1.684534248112512068e+04,2.921822163591417052e+02,-1.012014814312095723e+00,1.579037550153764569e+00
2.314197414845868587e+09,1.500199163238870850e+11,1.684029598221427659e+04,3.000261324359624950e+02,-1.024994863031648329e+00,1.569836739058425135e+00
2.374804079949380398e+09,1.500210244909093628e+11,1.683518475097549890e+04,3.078241728580866265e+02,-9.882173359728363415e-01,1.592450458555857429e+00
2.435393004739447117e+09,1.500221611368001404e+11,1.683025688612962404e+04,3.157349696591799670e+02,-8.989963087191066293e-01,1.643699952357524419e+00
2.495965790703193188e+09,1.500233271814985657e+11,1.682577387881831237e+04,3.239013051187087626e+02,-8.211595407538105906e-01,1.683185864678464094e+00
2.556523834978728771e+09,1.500245233337859802e+11,1.682167896542652670e+04,3.322645242854372327e+02,-9.066923488696081446e-01,1.637926188545988371e+00
2.617065602197662354e+09,1.500257487812488098e+11,1.681715756081483050e+04,3.404020730046627818e+02,-1.061627464904230767e+00,1.541206581065722059e+00
2.677588311210579395e+09,1.500270017877605896e+11,1.681186361469922122e+04,3.480573643866799216e+02,-8.157489130160527901e-01,1.683568683314464520e+00
2.738096375528939247e+09,1.500282849087448425e+11,1.680779564398881485e+04,3.564224956239887661e+02,-5.647014288068926691e-01,1.782818866827064364e+00
2.798594301447267532e+09,1.500295999257601929e+11,1.680497942175790740e+04,3.652825042668023343e+02,-7.786219074241733651e-01,1.699576879400755525e+00
2.859078249020771503e+09,1.500309453446056824e+11,1.680109654819557909e+04,3.737274570794581336e+02,-6.477598790780769722e-01,1.752913409893962493e+00
2.919550567198428154e+09,1.500323221226837158e+11,1.679786616046015843e+04,3.824383550083263685e+02,-7.844457753498925712e-01,1.695414273647415371e+00
2.980008802406925201e+09,1.500337292278812256e+11,1.679395422458257235e+04,3.908625548661281073e+02,-7.239533250155213429e-01,1.721384494027266232e+00
3.040454040451599598e+09,1.500351671263717957e+11,1.679034390129841631e+04,3.994162473766585322e+02,-1.001096250601601456e+00,1.575617135359729026e+00
3.100881306536041737e+09,1.500366332016156921e+11,1.678535169012275946e+04,4.072431233076240460e+02,-1.038414487351082771e+00,1.550467763707992663e+00
3.161289930750242710e+09,1.500381270021829224e+11,1.678017339283359979e+04,4.149446020098797021e+02,-6.673600540329226449e-01,1.741946948374427873e+00
3.221686573530203342e+09,1.500396519651561279e+11,1.677684521665567809e+04,4.236008258943102192e+02,-6.423867863578456294e-01,1.750595130838634494e+00
3.282071683107082367e+09,1.500412082457762756e+11,1.677364154913306629e+04,4.323001722614741880e+02,-6.164112886211298159e-01,1.759198256024669949e+00
3.342445725702222824e+09,1.500427959984755859e+11,1.677056738753906393e+04,4.410424164753150080e+02,-8.357318724500776286e-01,1.665470715669778556e+00
3.402804764438344479e+09,1.500444135408367920e+11,1.676639964892273929e+04,4.493173225566893620e+02,-5.549941062132658365e-01,1.778123419817450923e+00
3.463153838554829121e+09,1.500460628949966736e+11,1.676363169902352456e+04,4.581539333015685997e+02,-5.031431214733425028e-01,1.792788620756802231e+00
3.523493878741643429e+09,1.500477443242028809e+11,1.676112227411507047e+04,4.670636683879862403e+02,-7.685712182874423481e-01,1.695301390492795823e+00
3.583820120485310078e+09,1.500494560785514526e+11,1.675728937324069193e+04,4.754873190442406781e+02,-1.065090238084929863e+00,1.525725265516103546e+00
3.644127241185995579e+09,1.500511951141328735e+11,1.675197797241258741e+04,4.830654392836914326e+02,-6.479815863598614722e-01,1.743525950073834041e+00
3.704422727959432125e+09,1.500529653405051270e+11,1.674874632595454386e+04,4.917295478487325227e+02,-7.925477035559090888e-01,1.682005017744010678e+00
3.764703985781471729e+09,1.500547656533645630e+11,1.674479383945546942e+04,5.000869054014926860e+02,-5.776689036725071169e-01,1.766658721823009648e+00
3.824974871714031696e+09,1.500565975722626038e+11,1.674191275904441136e+04,5.088663605701896131e+02,-5.750666520331293441e-01,1.766803950040569005e+00
3.885235432425602436e+09,1.500584610998119202e+11,1.673904464210295919e+04,5.176465414792806996e+02,-7.217304880360475572e-01,1.711408249064530596e+00
3.945483035237743378e+09,1.500603552416578979e+11,1.673544522559467441e+04,5.261505127739912950e+02,-8.483372117687902891e-01,1.651561108771255837e+00
4.005715407499974728e+09,1.500622789235420837e+11,1.673121451728654938e+04,5.343560789378211666e+02,-1.051730901090469184e+00,1.529284488973630340e+00
4.065928898225169659e+09,1.500642299505882568e+11,1.672596964588746050e+04,5.419519572728087269e+02,-8.703714185616193699e-01,1.638542990504439301e+00
4.126126762798947334e+09,1.500662102840078430e+11,1.672162904827151579e+04,5.500926165523545706e+02,-5.078331997702741907e-01,1.783815395485759625e+00
4.186315508790356636e+09,1.500682225314668884e+11,1.671909610872483972e+04,5.589576275113764723e+02,-9.077101309317170408e-01,1.616625624993505150e+00
4.246487958310924053e+09,1.500702636918921814e+11,1.671456931126867858e+04,5.669890070297676630e+02,-9.696853812600483291e-01,1.579446835360289958e+00
4.306642998854167938e+09,1.500723330979257812e+11,1.670973348423430070e+04,5.748350093307093402e+02,-6.044981885855389425e-01,1.751300007482235577e+00
4.366787185538643837e+09,1.500744338343624268e+11,1.670671852346542073e+04,5.835378990681443838e+02,-5.549949273542695849e-01,1.766912538317987336e+00
4.426921406912631989e+09,1.500765661814558411e+11,1.670395038166327504e+04,5.923186370594328309e+02,-7.000385981723264983e-01,1.713906805482351636e+00
4.487043059380053520e+09,1.500787291877525024e+11,1.670045901872816830e+04,6.008350824037789835e+02,-1.005126571172832328e+00,1.553957598816512409e+00
4.547146666527458191e+09,1.500809199821488037e+11,1.669544642983450467e+04,6.085539989692450717e+02,-9.776504550822183726e-01,1.570604365336884856e+00
4.607232721512877464e+09,1.500831388634633789e+11,1.669057082928320597e+04,6.163559207185836613e+02,-9.663443257721924251e-01,1.576804916532566603e+00
4.667301427240864754e+09,1.500853859430039978e+11,1.668575159110763707e+04,6.241887612841264854e+02,-8.536090247296223010e-01,1.639824723154059027e+00
4.727354807283676147e+09,1.500876623519919739e+11,1.668149445633650976e+04,6.323358299972639998e+02,-9.451061030226541870e-01,1.588076857249750118e+00
4.787391219214092255e+09,1.500899671615531311e+11,1.667678109178235172e+04,6.402248781003352178e+02,-9.190396418948372226e-01,1.602536027149255693e+00
4.847411130886733055e+09,1.500923006312388306e+11,1.667219768684461815e+04,6.481860238020062752e+02,-9.812995333196578018e-01,1.564401006119372051e+00
4.907413424685976982e+09,1.500946620765274658e+11,1.666730383312340564e+04,6.559570246237201445e+02,-8.090066077505474462e-01,1.659323072494030438e+00
4.967401193251778603e+09,1.500970532012907410e+11,1.666326904605612071e+04,6.642013231309344974e+02,-1.037369776104526853e+00,1.526190005471504296e+00
5.027370337391735077e+09,1.500994716157791748e+11,1.665809559443240141e+04,6.717818023401064238e+02,-5.073313082443793309e-01,1.773571517894833027e+00
5.087330371327878952e+09,1.501019217605327759e+11,1.665556498226219628e+04,6.805957648874842789e+02,-9.419752428673303646e-01,1.585299464315472973e+00
5.147273493099523544e+09,1.501044002560498047e+11,1.665086715879013354e+04,6.884709769519147358e+02,-7.973542026746615052e-01,1.662007988051531715e+00
5.207202298632534027e+09,1.501069084792666626e+11,1.664689042583612172e+04,6.967286713533363809e+02,-7.687826146913184777e-01,1.674685599418830551e+00
5.267117300749055862e+09,1.501094466577561340e+11,1.664305614347822484e+04,7.050495804096756274e+02,-8.510681394132646460e-01,1.633657747690386408e+00
5.327017022370729446e+09,1.501120140550705566e+11,1.663881156157590885e+04,7.131659206735400858e+02,-8.959310994698306274e-01,1.608732385292267031e+00
5.386900658159436226e+09,1.501146102238042908e+11,1.663434327464065427e+04,7.211579815901829988e+02,-7.598470407747999200e-01,1.676575218362935660e+00
5.446770650801128387e+09,1.501172363817537231e+11,1.663055351158123085e+04,7.294883192834518013e+02,-1.040969874622955871e+00,1.517305187010268508e+00
5.506621954060275078e+09,1.501198896700079651e+11,1.662536201642973174e+04,7.370245150638326095e+02,-9.497156165947588935e-01,1.575257640962503869e+00
5.566456205921745300e+09,1.501225711288298950e+11,1.662062551707503735e+04,7.448496727599892893e+02,-5.530656116797699751e-01,1.753590501901364007e+00
5.626280526266386032e+09,1.501252839593275146e+11,1.661786676240027373e+04,7.535640271124357241e+02,-9.660841359310859966e-01,1.563716485025573810e+00
5.686087501312824249e+09,1.501280247532443848e+11,1.661304862401057107e+04,7.613316435759689966e+02,-6.833815639770349781e-01,1.705604226290698300e+00
5.745882205569746971e+09,1.501307960574937134e+11,1.660964007136749933e+04,7.698067359272001795e+02,-5.787351346533962104e-01,1.743195877776321900e+00
5.805666517413442612e+09,1.501335985468595581e+11,1.660675328991537754e+04,7.784692682866023006e+02,-7.361523362794927250e-01,1.682057608030055107e+00
5.865437611141745567e+09,1.501364311239102478e+11,1.660308159119523043e+04,7.868269585239246453e+02,-9.992547310558322904e-01,1.539578391514011768e+00
5.925190763988657951e+09,1.501392912311329651e+11,1.659809801303130371e+04,7.944742285361948007e+02,-9.709924935759548514e-01,1.556778901186132158e+00
5.984926483223712921e+09,1.501421791772882080e+11,1.659325534307070120e+04,8.022072653476371897e+02,-1.019131206072968698e+00,1.524905121083703685e+00
