t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,2.978000000000000000e+04,0.000000000000000000e+00,8.500000000000000888e-01
1.000000000000000000e+01,1.499999999999994202e+11,2.978000850000000210e+05,-5.900081199999999200e-05,2.978000849999999991e+04,-1.687532127463709785e-06,8.499991499987498145e-01
2.000000000000000000e+01,1.499999999999982300e+11,5.956002549999138573e+05,-1.180184993209262341e-04,2.978001699999138145e+04,-3.375061361510139577e-06,8.499982999949993179e-01
3.000000000000000000e+01,1.499999999999964600e+11,8.934005099996554200e+05,-1.770530619331473995e-04,2.978002549997414826e+04,-5.062587702122482758e-06,8.499974499887485990e-01
4.000000000000000000e+01,1.499999999999941101e+11,1.191200849999138387e+06,-2.361044998070319176e-04,2.978003399994829670e+04,-6.750111149283936949e-06,8.499965999799976579e-01
5.000000000000000000e+01,1.499999999999911499e+11,1.489001274998276727e+06,-2.951728129129480688e-04,2.978004249991382676e+04,-8.437631702977694897e-06,8.499957499687462725e-01
6.000000000000000000e+01,1.499999999999876099e+11,1.786801784996984061e+06,-3.542580012212640113e-04,2.978005099987074209e+04,-1.012514936318695147e-05,8.499948999549946649e-01
7.000000000000000000e+01,1.499999999999834900e+11,2.084602379995174473e+06,-4.133600647023476325e-04,2.978005949981903905e+04,-1.181266412989490069e-05,8.499940499387426129e-01
8.000000000000000000e+01,1.499999999999787598e+11,2.382403059992761817e+06,-4.724790033265667652e-04,2.978006799975871763e+04,-1.350017600308474249e-05,8.499931999199904498e-01
9.000000000000000000e+01,1.499999999999734497e+11,2.680203824989659712e+06,-5.316148170642889716e-04,2.978007649968978149e+04,-1.518768498273966837e-05,8.499923498987379533e-01
1.000000000000000000e+02,1.499999999999675293e+11,2.978004674985782243e+06,-5.907675058858817595e-04,2.978008499961222697e+04,-1.687519106884287319e-05,8.499914998749852346e-01
1.100000000000000000e+02,1.499999999999610291e+11,3.275805609981042799e+06,-6.499370697617124198e-04,2.978009349952605407e+04,-1.856269426137755011e-05,8.499906498487321826e-01
1.200000000000000000e+02,1.499999999999539490e+11,3.573606629975355230e+06,-7.091235086621480808e-04,2.978010199943126281e+04,-2.025019456032689909e-05,8.499897998199790194e-01
1.300000000000000000e+02,1.499999999999462585e+11,3.871407734968633857e+06,-7.683268225575556540e-04,2.978011049932785681e+04,-2.193769196567411499e-05,8.499889497887255230e-01
1.400000000000000000e+02,1.499999999999379883e+11,4.169208924960792065e+06,-8.275470114183018340e-04,2.978011899921583245e+04,-2.362518647740238591e-05,8.499880997549719153e-01
1.500000000000000000e+02,1.499999999999291077e+11,4.467010199951743707e+06,-8.867840752147533156e-04,2.978012749909518971e+04,-2.531267809549491349e-05,8.499872497187178633e-01
1.600000000000000000e+02,1.499999999999196472e+11,4.764811559941402636e+06,-9.460380139172764680e-04,2.978013599896592859e+04,-2.700016681993488919e-05,8.499863996799638111e-01
1.700000000000000000e+02,1.499999999999096069e+11,5.062613004929683171e+06,-1.005308827496237661e-03,2.978014449882805275e+04,-2.868765265070551807e-05,8.499855496387093146e-01
