t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,2.978000000000000000e+04,-5.731079540012899015e-02,8.480657242988922651e-01
1.000000000000000000e+01,1.499999999999936829e+11,2.978000848065724131e+05,-6.321087660012898908e-04,2.978000848065724131e+04,-1.782321592729376597e-02,8.498131164991564734e-01
2.000000000000000000e+01,1.499999999999849854e+11,5.956002545944552403e+05,-8.693417372738836916e-04,2.978001697878828782e+04,-5.303866530861914503e-04,8.499998345235122432e-01
3.000000000000000000e+01,1.499999999999756470e+11,8.934005093823191710e+05,-9.336464158033621176e-04,2.978002547878639962e+04,-3.597881621842329014e-02,8.492382026166280795e-01
4.000000000000000000e+01,1.499999999999621277e+11,1.191200849093999946e+06,-1.352435389984474757e-03,2.978003397116807537e+04,-1.060740747524830663e-01,8.433553762592640446e-01
5.000000000000000000e+01,1.499999999999374084e+11,1.489001273141213693e+06,-2.472176949503753808e-03,2.978004240472137099e+04,1.172358896756975355e-01,8.418763247484442047e-01
6.000000000000000000e+01,1.499999999999238281e+11,1.786801781376054045e+06,-1.358818864738106777e-03,2.978005082348403448e+04,1.156449515656429727e-01,8.420963396057367101e-01
7.000000000000000000e+01,1.499999999999212036e+11,2.084602373820521403e+06,-2.613701610691789631e-04,2.978005924444672928e+04,1.074203539155852011e-01,8.431849545412029023e-01
8.000000000000000000e+01,1.499999999999287415e+11,2.382403050583476201e+06,7.538325661037039143e-04,2.978006767629545357e+04,3.302615615639317714e-02,8.493581535545141614e-01
9.000000000000000000e+01,1.499999999999389954e+11,2.680203812282236759e+06,1.025093315689904914e-03,2.978007616987605070e+04,-1.551959679760088820e-02,8.498583070813863216e-01
1.000000000000000000e+02,1.499999999999471130e+11,2.978004658966817427e+06,8.108965357421035356e-04,2.978008466845806834e+04,-3.141655957267286414e-02,8.494192132184301691e-01
1.100000000000000000e+02,1.499999999999514771e+11,3.275805590593307745e+06,4.377301280502165332e-04,2.978009316264902736e+04,7.253430032051019771e-02,8.468995071890255133e-01
