t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,2.978000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.499999999999994202e+11,2.978000000000000000e+05,-5.900081199999999200e-05,2.978000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.499999999999982300e+11,5.955999999999988358e+05,-1.180016239996516027e-04,2.977999999999988358e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,1.499999999999964600e+11,8.933999999999953434e+05,-1.770024359982576767e-04,2.977999999999965075e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,1.499999999999941101e+11,1.191199999999988358e+06,-2.360032479951209498e-04,2.977999999999929787e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,1.499999999999911499e+11,1.488999999999976717e+06,-2.950040599895442802e-04,2.977999999999882857e+04,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,1.499999999999876099e+11,1.786799999999959022e+06,-3.540048719808304174e-04,2.977999999999824286e+04,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+01,1.499999999999834900e+11,2.084599999999934342e+06,-4.130056839682822193e-04,2.977999999999754073e+04,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,1.499999999999787598e+11,2.382399999999901745e+06,-4.720064959512024357e-04,2.977999999999672218e+04,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+01,1.499999999999734497e+11,2.680199999999859370e+06,-5.310073079288938703e-04,2.977999999999578358e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,1.499999999999675598e+11,2.977999999999806751e+06,-5.900081199006593268e-04,2.977999999999472857e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+02,1.499999999999610596e+11,3.275799999999742489e+06,-6.490089318658017175e-04,2.977999999999355714e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+02,1.499999999999539795e+11,3.573599999999665190e+06,-7.080097438236236836e-04,2.977999999999226930e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+02,1.499999999999463196e+11,3.871399999999573920e+06,-7.670105557734280830e-04,2.977999999999086504e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+02,1.499999999999380493e+11,4.169199999999467283e+06,-8.260113677145176653e-04,2.977999999998934072e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+02,1.499999999999291992e+11,4.466999999999344349e+06,-8.850121796461953971e-04,2.977999999998769999e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+02,1.499999999999197693e+11,4.764799999999203719e+06,-9.440129915677639193e-04,2.977999999998594285e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,1.499999999999097290e+11,5.062599999999044463e+06,-1.003013803478525982e-03,2.977999999998406929e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+02,1.499999999998991089e+11,5.360399999998865649e+06,-1.062014615377784551e-03,2.977999999998207932e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+02,1.499999999998879089e+11,5.658199999998665415e+06,-1.121015427264842376e-03,2.977999999997996929e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.499999999998760986e+11,5.955999999998442829e+06,-1.180016239139002315e-03,2.977999999997774285e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+02,1.499999999998637085e+11,6.253799999998196959e+06,-1.239017050999567009e-03,2.977999999997539999e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+02,1.499999999998507385e+11,6.551599999997925945e+06,-1.298017862845839317e-03,2.977999999997294071e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+02,1.499999999998371582e+11,6.849399999997629784e+06,-1.357018674677122096e-03,2.977999999997036502e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+02,1.499999999998229980e+11,7.147199999997306615e+06,-1.416019486492718204e-03,2.977999999996766928e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+02,1.499999999998082581e+11,7.444999999996955507e+06,-1.475020298291930283e-03,2.977999999996485712e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+02,1.499999999997929077e+11,7.742799999996574596e+06,-1.534021110074061190e-03,2.977999999996192855e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+02,1.499999999997769775e+11,8.040599999996162951e+06,-1.593021921838413783e-03,2.977999999995888356e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+02,1.499999999997604675e+11,8.338399999995720573e+06,-1.652022733584290921e-03,2.977999999995572216e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+02,1.499999999997433472e+11,8.636199999995244667e+06,-1.711023545310995245e-03,2.977999999995244070e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,1.499999999997256470e+11,8.933999999994734302e+06,-1.770024357017829612e-03,2.977999999994904283e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+02,1.499999999997073669e+11,9.231799999994190410e+06,-1.829025168704096881e-03,2.977999999994552854e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+02,1.499999999996884766e+11,9.529599999993609264e+06,-1.888025980369099693e-03,2.977999999994189784e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+02,1.499999999996690063e+11,9.827399999992990866e+06,-1.947026792012140906e-03,2.977999999993815072e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+02,1.499999999996489563e+11,1.012519999999233335e+07,-2.006027603632523377e-03,2.977999999993428355e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+02,1.499999999996282959e+11,1.042299999999163672e+07,-2.065028415229549965e-03,2.977999999993029996e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+02,1.499999999996070557e+11,1.072079999999089912e+07,-2.124029226802523311e-03,2.977999999992619996e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+02,1.499999999995852356e+11,1.101859999999011867e+07,-2.183030038350746490e-03,2.977999999992198354e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+02,1.499999999995628052e+11,1.131639999998929538e+07,-2.242030849873522143e-03,2.977999999991765071e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+02,1.499999999995397949e+11,1.161419999998842739e+07,-2.301031661370152911e-03,2.977999999991319783e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,1.499999999995162048e+11,1.191199999998751283e+07,-2.360032472839941869e-03,2.977999999990862852e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+02,1.499999999994920044e+11,1.220979999998655170e+07,-2.419033284282191658e-03,2.977999999990394281e+04,0.000000000000000000e+00,0.000000000000000000e+00
