t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,2.978000000000000000e+04,0.000000000000000000e+00,8.500000000000000888e-01
1.000000000000000000e+01,1.499999999999994202e+11,2.978000850000000210e+05,-5.900081199999999200e-05,2.978000849999999991e+04,-1.687533814996681000e-06,8.499999999983247623e-01
2.000000000000000000e+01,1.499999999999982300e+11,5.956002549999988405e+05,-1.180184993378015563e-04,2.978001699999988341e+04,-3.375068111640094470e-06,8.499999999932993378e-01
3.000000000000000000e+01,1.499999999999964600e+11,8.934005099999953527e+05,-1.770530620175240241e-04,2.978002549999965049e+04,-5.062602889910298078e-06,8.499999999849235932e-01
4.000000000000000000e+01,1.499999999999941101e+11,1.191200849999988452e+06,-2.361045000432864015e-04,2.978003399999929752e+04,-6.750138149787352033e-06,8.499999999731975286e-01
5.000000000000000000e+01,1.499999999999911499e+11,1.489001274999976624e+06,-2.951728134192075997e-04,2.978004249999882813e+04,-8.437673891251314638e-06,8.499999999581211441e-01
6.000000000000000000e+01,1.499999999999876099e+11,1.786801784999959171e+06,-3.542580021494062857e-04,2.978005099999824233e+04,-1.012521011428224081e-05,8.499999999396943284e-01
7.000000000000000000e+01,1.499999999999834900e+11,2.084602379999934696e+06,-4.133600662380008560e-04,2.978005949999754012e+04,-1.181274681886019647e-05,8.499999999179170818e-01
8.000000000000000000e+01,1.499999999999787598e+11,2.382403059999901801e+06,-4.724790056891095980e-04,2.978006799999671784e+04,-1.350028400496523231e-05,8.499999998927896261e-01
9.000000000000000000e+01,1.499999999999734497e+11,2.680203824999859557e+06,-5.316148205068506371e-04,2.978007649999577916e+04,-1.518782167257741255e-05,8.499999998643118504e-01
1.000000000000000000e+02,1.499999999999675293e+11,2.978004674999807030e+06,-5.907675106953417729e-04,2.978008499999472406e+04,-1.687535982167679465e-05,8.499999998324837547e-01
1.100000000000000000e+02,1.499999999999610291e+11,3.275805609999742359e+06,-6.499370762587008054e-04,2.978009349999355254e+04,-1.856289845224343268e-05,8.499999997973052279e-01
1.200000000000000000e+02,1.499999999999539490e+11,3.573606629999665078e+06,-7.091235172010451008e-04,2.978010199999226097e+04,-2.025043756425739426e-05,8.499999997587763811e-01
1.300000000000000000e+02,1.499999999999462585e+11,3.871407734999573790e+06,-7.683268335264919167e-04,2.978011049999085299e+04,-2.193797715769873685e-05,8.499999997168972143e-01
1.400000000000000000e+02,1.499999999999379883e+11,4.169208924999467097e+06,-8.275470252391584026e-04,2.978011899998932859e+04,-2.362551723254750774e-05,8.499999996716677275e-01
1.500000000000000000e+02,1.499999999999291077e+11,4.467010199999343604e+06,-8.867840923431613825e-04,2.978012749998768413e+04,-2.531305778878376777e-05,8.499999996230876986e-01
1.600000000000000000e+02,1.499999999999196472e+11,4.764811559999203309e+06,-9.460380348426174636e-04,2.978013599998592326e+04,-2.700059882638759134e-05,8.499999995711575718e-01
1.700000000000000000e+02,1.499999999999096069e+11,5.062613004999043420e+06,-1.005308852741643253e-03,2.978014449998404598e+04,-2.868814034533901218e-05,8.499999995158767918e-01
1.800000000000000000e+02,1.499999999998989563e+11,5.360414534998863935e+06,-1.064596546044354816e-03,2.978015299998204864e+04,-3.037568234561811148e-05,8.499999994572458029e-01
