ts,case_id,seed,phase1_steps,phase2_steps,switch_ratio,steps,pos_l2,vel_l2,ret_abs,pass,failure_type,note
2025-10-08 15:02:11,p1200_p2200_sw03_s51,51,200,200,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:12,p1200_p2200_sw03_s52,52,200,200,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:12,p1200_p2200_sw05_s51,51,200,200,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:12,p1200_p2200_sw05_s52,52,200,200,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:13,p1200_p2200_sw07_s51,51,200,200,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:13,p1200_p2200_sw07_s52,52,200,200,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:13,p1200_p2400_sw03_s51,51,200,400,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:13,p1200_p2400_sw03_s52,52,200,400,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:14,p1200_p2400_sw05_s51,51,200,400,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:14,p1200_p2400_sw05_s52,52,200,400,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:14,p1200_p2400_sw07_s51,51,200,400,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:15,p1200_p2400_sw07_s52,52,200,400,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:15,p1400_p2200_sw03_s51,51,400,200,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:15,p1400_p2200_sw03_s52,52,400,200,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:16,p1400_p2200_sw05_s51,51,400,200,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:16,p1400_p2200_sw05_s52,52,400,200,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:16,p1400_p2200_sw07_s51,51,400,200,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:16,p1400_p2200_sw07_s52,52,400,200,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:17,p1400_p2400_sw03_s51,51,400,400,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:17,p1400_p2400_sw03_s52,52,400,400,0.3,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:17,p1400_p2400_sw05_s51,51,400,400,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:18,p1400_p2400_sw05_s52,52,400,400,0.5,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:18,p1400_p2400_sw07_s51,51,400,400,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
2025-10-08 15:02:18,p1400_p2400_sw07_s52,52,400,400,0.7,2000,, , ,0,Type C,Recorder failed (rc=2)
