pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
7.500000000000000000e+12,0.000000000000000000e+00,3.643512412494295404e+03,2.103582872149323521e+03,2.601657867431640625e+00,-8.809508323669433594e+00
7.500002187404671875e+12,1.257757170662833611e+06,3.645674453082161563e+03,2.096261951104722812e+03,2.263056516647338867e+00,-9.276156425476074219e+00
7.500004375937736328e+12,2.510889110975014046e+06,3.647555107505942487e+03,2.088553233853634538e+03,1.775441020727157593e-01,-8.029840469360351562e+00
7.500006564559326172e+12,3.760017252715214156e+06,3.647702649119828493e+03,2.081880236233666892e+03,-1.098797321319580078e+00,-8.409864425659179688e+00
7.500008752633038086e+12,5.004952110254254192e+06,3.646789519190730516e+03,2.074891429231733127e+03,2.398710966110229492e+00,-8.491230010986328125e+00
7.500010941902781250e+12,6.245653113494186662e+06,3.648782905843985191e+03,2.067835005399887450e+03,7.274386286735534668e-02,-1.035571193695068359e+01
7.500013131208794922e+12,7.481190603856967762e+06,3.648843355846346640e+03,2.059229150604635834e+03,-9.684426784515380859e-01,-9.316963195800781250e+00
7.500015320031927734e+12,8.712082517003005370e+06,3.648038553875313937e+03,2.051486521910062493e+03,-3.121402859687805176e-02,-9.419943809509277344e+00
7.500017508839495117e+12,9.938277505257872865e+06,3.648012612278123015e+03,2.043658313758113536e+03,2.093457132577896118e-01,-9.212276458740234375e+00
7.500019697751444336e+12,1.115987911466904543e+07,3.648186581823748838e+03,2.036002682351955627e+03,7.607818245887756348e-01,-9.465718269348144531e+00
7.500021887042729492e+12,1.237676097535865754e+07,3.648818808525606528e+03,2.028136434482688401e+03,6.410081982612609863e-01,-9.105148315429687500e+00
7.500024076653629883e+12,1.358910287289930135e+07,3.649351500357940949e+03,2.020569829234405688e+03,-2.461276352405548096e-01,-8.700827598571777344e+00
7.500026266141805664e+12,1.479710640764841065e+07,3.649146960195676911e+03,2.013339224581849521e+03,1.263377428054809570e+00,-8.170720100402832031e+00
7.500028456259919922e+12,1.600103589913415909e+07,3.650196856374102481e+03,2.006549152476247627e+03,5.241951346397399902e-01,-9.592185020446777344e+00
7.500030646639404297e+12,1.720018258368450403e+07,3.650632473638333977e+03,1.998577807583905496e+03,-4.807640910148620605e-01,-9.145437240600585938e+00
7.500032836779170898e+12,1.839476921642512828e+07,3.650232944731662428e+03,1.990977721234371529e+03,8.376072049140930176e-01,-6.644309043884277344e+00
7.500035027336580078e+12,1.958604289728791267e+07,3.650929015239891669e+03,1.985456134771304960e+03,-8.927607536315917969e-02,-8.326443672180175781e+00
7.500037217849473633e+12,2.077316488878506422e+07,3.650854822634318225e+03,1.978536652495249882e+03,-1.207669615745544434e+00,-8.372078895568847656e+00
7.500039407760204102e+12,2.195611243651156873e+07,3.649851217114300653e+03,1.971579246210838164e+03,1.535281419754028320e+00,-9.741752624511718750e+00
7.500041598436447266e+12,2.313420260065798089e+07,3.651127072288605177e+03,1.963483606910684102e+03,-2.494215965270996094e-03,-9.125399589538574219e+00
7.500043789111446289e+12,2.430774270406722277e+07,3.651124997571731456e+03,1.955900172348734714e+03,1.332567691802978516e+00,-1.008283710479736328e+01
7.500045980450881836e+12,2.547625535407240689e+07,3.652232392584306126e+03,1.947521083341971462e+03,-1.369815587997436523e+00,-9.254715919494628906e+00
7.500048171107305664e+12,2.664015346428393200e+07,3.651094039718931526e+03,1.939830183685874999e+03,2.870197892189025879e-01,-9.364153861999511719e+00
7.500050361906840820e+12,2.779938246730664372e+07,3.651332558358169990e+03,1.932048338371186901e+03,6.539038419723510742e-01,-9.246789932250976562e+00
7.500052553032420898e+12,2.895400088255149871e+07,3.651875966791941210e+03,1.924364025408090129e+03,2.290908843278884888e-01,-9.440890312194824219e+00
7.500054744272227539e+12,3.010391192866561562e+07,3.652066345067006296e+03,1.916518410190192071e+03,-4.647112488746643066e-01,-1.017333602905273438e+01
7.500056935280321289e+12,3.124875039725831524e+07,3.651680156472375074e+03,1.908064114321165334e+03,-2.129686355590820312e+00,-9.537622451782226562e+00
7.500059125226520508e+12,3.238883326462851465e+07,3.649910332054989340e+03,1.900138112283665123e+03,1.609565019607543945e+00,-9.607063293457031250e+00
7.500061315975271484e+12,3.352412590653382614e+07,3.651247918752727855e+03,1.892154403175520656e+03,2.766845464706420898e+00,-9.179884910583496094e+00
7.500063508103612305e+12,3.465484132050587982e+07,3.653547234352211944e+03,1.884525689953420397e+03,1.027025461196899414e+00,-8.747684478759765625e+00
7.500065700744041992e+12,3.578119500814502686e+07,3.654400716153767007e+03,1.877256146065245275e+03,5.283908247947692871e-01,-1.049318218231201172e+01
